time,tg,rr
2020-01-01,-1.705,0.66
2020-01-02,-0.016,0.08
2020-01-03,0.531,10.72
2020-01-04,-3.189,12.68
2020-01-05,-5.309,6.19
2020-01-06,0.246,2.13
2020-01-07,0.767,1.08
2020-01-08,1.124,38.83
2020-01-09,-1.28,27.62
2020-01-10,-3.827,0.03
2020-01-11,-6.597,0.05
2020-01-12,0.699,75.67
2020-01-13,-2.533,4.92
2020-01-14,-1.378,9.86
2020-01-15,-1.097,16.31
2020-01-16,-0.567,28.34
2020-01-17,0.107,26.84
2020-01-18,0.36,9.97
2020-01-19,-1.685,1.29
2020-01-20,-1.938,1.23
2020-01-21,1.854,7.76
2020-01-22,-0.114,0.1
2020-01-23,-2.267,0.32
2020-01-24,1.369,5.86
2020-01-25,-0.998,0.3
2020-01-26,0.084,1.97
2020-01-27,-0.103,5.63
2020-01-28,-2.536,5.92
2020-01-29,-2.913,1.51
2020-01-30,-3.891,3.11
2020-01-31,-3.978,5.19
2020-02-01,-0.594,30.94
2020-02-02,-0.437,7.75
2020-02-03,-5.307,0.0
2020-02-04,-6.766,8.26
2020-02-05,-6.685,8.02
2020-02-06,-0.481,4.07
2020-02-07,-0.105,0.0
2020-02-08,-2.028,0.0
2020-02-09,-0.991,13.15
2020-02-10,-0.237,58.22
2020-02-11,-2.86,46.33
2020-02-12,-2.838,43.95
2020-02-13,-4.352,20.16
2020-02-14,-6.857,0.06
2020-02-15,-4.59,4.48
2020-02-16,0.086,40.53
2020-02-17,-0.921,31.48
2020-02-18,-0.402,43.83
2020-02-19,-2.565,26.42
2020-02-20,-3.649,0.0
2020-02-21,-1.484,17.17
2020-02-22,0.044,66.55
2020-02-23,-1.963,67.21
2020-02-24,-3.975,31.69
2020-02-25,-4.92,0.46
2020-02-26,-6.153,0.0
2020-02-27,-9.515,0.09
2020-02-28,-7.291,1.28
2020-02-29,-4.143,3.62
2020-03-01,-4.567,5.9
2020-03-02,-2.421,15.36
2020-03-03,-2.432,6.21
2020-03-04,-2.748,0.51
2020-03-05,-4.379,0.06
2020-03-06,-7.988,0.0
2020-03-07,-9.784,0.0
2020-03-08,-4.89,19.13
2020-03-09,0.051,24.6
2020-03-10,-0.88,0.26
2020-03-11,-1.106,23.55
2020-03-12,-1.816,17.34
2020-03-13,-2.713,24.64
2020-03-14,-9.127,0.0
2020-03-15,-6.341,11.52
2020-03-16,-0.346,33.07
2020-03-17,-1.269,13.34
2020-03-18,-0.152,7.65
2020-03-19,-2.221,17.86
2020-03-20,-2.604,2.45
2020-03-21,-7.613,0.0
2020-03-22,-7.981,0.0
2020-03-23,-4.762,0.0
2020-03-24,-2.787,0.0
2020-03-25,-0.503,0.0
2020-03-26,1.368,0.11
2020-03-27,0.758,0.0
2020-03-28,-1.099,0.0
2020-03-29,-6.064,0.0
2020-03-30,-4.932,0.71
2020-03-31,-4.162,0.01
2020-04-01,-1.191,0.94
2020-04-02,-0.85,8.56
2020-04-03,-3.909,16.69
2020-04-04,-5.735,0.33
2020-04-05,-2.085,0.11
2020-04-06,1.219,0.0
2020-04-07,2.167,5.95
2020-04-08,1.316,0.0
2020-04-09,0.517,0.4
2020-04-10,-3.403,0.0
2020-04-11,-1.153,0.06
2020-04-12,0.943,14.96
2020-04-13,-2.705,1.72
2020-04-14,-4.23,0.0
2020-04-15,-0.267,2.12
2020-04-16,1.09,3.79
2020-04-17,-3.035,0.01
2020-04-18,-2.804,0.0
2020-04-19,-0.901,0.0
2020-04-20,1.443,0.0
2020-04-21,2.959,0.0
2020-04-22,3.673,0.0
2020-04-23,3.942,0.0
2020-04-24,3.997,0.0
2020-04-25,1.048,0.0
2020-04-26,1.484,0.0
2020-04-27,2.049,7.09
2020-04-28,-0.009,0.69
2020-04-29,0.012,0.0
2020-04-30,-0.74,0.0
2020-05-01,-1.784,0.0
2020-05-02,0.273,0.0
2020-05-03,1.64,0.15
2020-05-04,-0.093,0.97
2020-05-05,-1.878,0.01
2020-05-06,0.631,0.0
2020-05-07,1.239,0.0
2020-05-08,2.11,0.0
2020-05-09,0.879,0.05
2020-05-10,1.559,10.7
2020-05-11,-3.609,0.0
2020-05-12,-2.46,1.18
2020-05-13,-4.21,0.1
2020-05-14,-2.598,0.02
2020-05-15,-0.783,8.95
2020-05-16,-1.106,2.81
2020-05-17,-1.702,3.43
2020-05-18,-0.495,0.28
2020-05-19,1.387,0.0
2020-05-20,1.482,0.0
2020-05-21,4.179,0.0
2020-05-22,6.355,0.0
2020-05-23,4.885,22.5
2020-05-24,3.315,12.87
2020-05-25,3.393,11.91
2020-05-26,6.429,0.0
2020-05-27,5.5,0.02
2020-05-28,3.317,0.12
2020-05-29,4.506,0.0
2020-05-30,8.072,0.0
2020-05-31,9.529,0.0
2020-06-01,9.867,0.0
2020-06-02,9.367,0.0
2020-06-03,8.4,0.0
2020-06-04,9.359,2.16
2020-06-05,6.098,0.23
2020-06-06,3.607,27.49
2020-06-07,4.628,10.48
2020-06-08,4.136,0.53
2020-06-09,7.006,6.18
2020-06-10,7.295,0.0
2020-06-11,7.616,0.0
2020-06-12,11.737,0.0
2020-06-13,12.86,0.0
2020-06-14,11.754,2.0
2020-06-15,12.244,0.0
2020-06-16,13.615,0.0
2020-06-17,15.726,0.0
2020-06-18,14.346,0.01
2020-06-19,15.519,0.0
2020-06-20,15.229,4.43
2020-06-21,12.76,9.46
2020-06-22,11.076,4.35
2020-06-23,9.197,0.0
2020-06-24,12.76,0.01
2020-06-25,15.59,0.0
2020-06-26,16.427,0.0
2020-06-27,15.861,0.0
2020-06-28,15.379,6.46
2020-06-29,9.358,1.31
2020-06-30,7.237,9.62
2020-07-01,8.075,5.96
2020-07-02,6.179,0.0
2020-07-03,4.147,2.17
2020-07-04,4.067,14.88
2020-07-05,7.631,5.76
2020-07-06,6.496,42.79
2020-07-07,4.548,4.2
2020-07-08,3.415,0.41
2020-07-09,4.867,0.02
2020-07-10,7.262,0.0
2020-07-11,6.862,0.09
2020-07-12,5.325,0.33
2020-07-13,6.892,1.19
2020-07-14,8.143,2.25
2020-07-15,8.552,10.03
2020-07-16,9.151,0.0
2020-07-17,11.178,0.0
2020-07-18,10.073,5.53
2020-07-19,10.15,36.0
2020-07-20,8.072,8.6
2020-07-21,6.427,0.0
2020-07-22,5.586,0.16
2020-07-23,5.818,0.0
2020-07-24,9.474,0.89
2020-07-25,9.296,0.09
2020-07-26,10.65,5.22
2020-07-27,9.851,34.56
2020-07-28,9.675,15.45
2020-07-29,8.207,43.5
2020-07-30,8.442,6.46
2020-07-31,8.364,1.39
2020-08-01,13.716,0.0
2020-08-02,13.348,4.06
2020-08-03,8.941,0.85
2020-08-04,6.764,0.17
2020-08-05,7.908,9.0
2020-08-06,11.122,3.05
2020-08-07,14.329,0.02
2020-08-08,14.606,0.0
2020-08-09,12.561,0.0
2020-08-10,13.692,0.0
2020-08-11,14.679,0.0
2020-08-12,16.6,0.01
2020-08-13,16.965,0.0
2020-08-14,16.245,0.01
2020-08-15,15.181,0.0
2020-08-16,17.054,0.0
2020-08-17,16.425,0.0
2020-08-18,16.361,0.0
2020-08-19,15.709,0.0
2020-08-20,13.141,1.96
2020-08-21,12.844,3.17
2020-08-22,12.405,20.58
2020-08-23,9.787,13.5
2020-08-24,7.012,9.98
2020-08-25,4.699,0.42
2020-08-26,6.999,0.19
2020-08-27,7.782,0.04
2020-08-28,8.358,0.31
2020-08-29,8.23,0.03
2020-08-30,8.926,0.0
2020-08-31,8.659,0.0
2020-09-01,8.043,0.0
2020-09-02,8.965,0.01
2020-09-03,9.058,0.0
2020-09-04,8.038,15.31
2020-09-05,6.553,22.32
2020-09-06,4.981,16.43
2020-09-07,5.561,0.38
2020-09-08,6.668,3.93
2020-09-09,7.153,30.64
2020-09-10,5.128,2.93
2020-09-11,3.47,6.12
2020-09-12,5.885,23.79
2020-09-13,4.749,28.65
2020-09-14,8.688,16.21
2020-09-15,10.294,0.47
2020-09-16,10.869,0.74
2020-09-17,6.338,0.0
2020-09-18,5.776,0.0
2020-09-19,7.773,0.06
2020-09-20,8.692,0.0
2020-09-21,9.252,0.0
2020-09-22,6.818,0.0
2020-09-23,8.22,7.13
2020-09-24,8.591,29.92
2020-09-25,5.412,7.43
2020-09-26,4.69,0.0
2020-09-27,6.639,0.0
2020-09-28,10.347,0.0
2020-09-29,10.552,0.14
2020-09-30,8.162,3.29
2020-10-01,8.436,6.32
2020-10-02,7.064,0.17
2020-10-03,7.775,0.08
2020-10-04,7.688,0.0
2020-10-05,7.885,15.62
2020-10-06,6.763,0.32
2020-10-07,6.312,0.06
2020-10-08,5.774,9.32
2020-10-09,3.743,13.35
2020-10-10,2.157,1.75
2020-10-11,2.68,0.0
2020-10-12,3.217,0.0
2020-10-13,2.794,0.0
2020-10-14,2.53,0.0
2020-10-15,1.762,0.0
2020-10-16,3.758,0.0
2020-10-17,3.441,0.0
2020-10-18,1.496,0.0
2020-10-19,-1.543,0.0
2020-10-20,-0.954,20.86
2020-10-21,1.107,21.42
2020-10-22,4.295,21.75
2020-10-23,3.669,16.37
2020-10-24,1.261,3.13
2020-10-25,3.793,20.53
2020-10-26,3.496,5.25
2020-10-27,2.72,0.32
2020-10-28,2.298,3.31
2020-10-29,1.852,14.96
2020-10-30,1.75,0.0
2020-10-31,2.394,6.85
2020-11-01,3.302,20.54
2020-11-02,3.777,26.15
2020-11-03,3.005,26.05
2020-11-04,0.833,6.31
2020-11-05,1.12,2.75
2020-11-06,5.819,4.64
2020-11-07,3.081,0.0
2020-11-08,2.269,0.7
2020-11-09,1.319,0.0
2020-11-10,1.592,0.0
2020-11-11,2.117,0.0
2020-11-12,2.401,0.0
2020-11-13,2.247,1.1
2020-11-14,1.6,12.62
2020-11-15,2.399,9.02
2020-11-16,5.323,24.48
2020-11-17,1.993,18.13
2020-11-18,4.959,29.36
2020-11-19,4.665,64.77
2020-11-20,-4.085,4.79
2020-11-21,-3.805,28.06
2020-11-22,0.402,38.63
2020-11-23,-0.485,21.54
2020-11-24,-0.392,17.36
2020-11-25,2.819,20.83
2020-11-26,1.395,5.83
2020-11-27,-3.696,0.0
2020-11-28,-5.581,0.0
2020-11-29,-3.099,0.0
2020-11-30,-2.103,0.0
2020-12-01,-0.952,6.92
2020-12-02,-3.827,0.0
2020-12-03,-1.904,6.21
2020-12-04,-2.75,19.22
2020-12-05,-3.523,0.8
2020-12-06,-1.754,0.02
2020-12-07,-0.938,0.17
2020-12-08,0.315,0.16
2020-12-09,-0.923,0.0
2020-12-10,-1.777,0.22
2020-12-11,-2.152,1.0
2020-12-12,-3.068,0.0
2020-12-13,-2.537,0.0
2020-12-14,-1.479,1.13
2020-12-15,-0.531,12.95
2020-12-16,0.177,3.42
2020-12-17,0.535,0.74
2020-12-18,0.026,6.75
2020-12-19,2.358,3.22
2020-12-20,2.317,10.52
2020-12-21,0.38,13.88
2020-12-22,-0.613,3.25
2020-12-23,-0.479,12.88
2020-12-24,-3.625,0.0
2020-12-25,-8.526,0.0
2020-12-26,-7.515,0.45
2020-12-27,-2.462,23.05
2020-12-28,-1.13,12.42
2020-12-29,-2.715,0.22
2020-12-30,-1.859,0.1
2020-12-31,-2.571,0.02
