time,tg,rr
2020-01-01,-2.825,1.01
2020-01-02,-0.969,0.01
2020-01-03,-0.383,14.96
2020-01-04,-4.759,18.36
2020-01-05,-6.713,10.48
2020-01-06,-0.0,3.33
2020-01-07,0.315,1.1
2020-01-08,0.243,47.79
2020-01-09,-2.557,32.11
2020-01-10,-5.051,0.0
2020-01-11,-7.003,0.48
2020-01-12,-0.115,78.58
2020-01-13,-3.53,10.32
2020-01-14,-2.384,7.24
2020-01-15,-2.187,16.27
2020-01-16,-1.6,38.07
2020-01-17,-0.976,26.73
2020-01-18,-0.19,10.92
2020-01-19,-2.852,1.3
2020-01-20,-3.097,4.48
2020-01-21,0.89,8.54
2020-01-22,-1.692,0.26
2020-01-23,-3.81,0.57
2020-01-24,0.272,7.46
2020-01-25,-2.424,0.21
2020-01-26,-0.628,3.36
2020-01-27,-0.838,4.11
2020-01-28,-3.568,2.34
2020-01-29,-4.219,2.99
2020-01-30,-4.821,4.33
2020-01-31,-4.841,3.99
2020-02-01,-0.921,36.15
2020-02-02,-1.591,9.7
2020-02-03,-6.978,0.01
2020-02-04,-7.812,10.56
2020-02-05,-7.939,12.05
2020-02-06,-1.268,3.06
2020-02-07,-1.28,0.1
2020-02-08,-2.998,0.0
2020-02-09,-1.978,9.73
2020-02-10,-1.036,55.45
2020-02-11,-4.015,57.12
2020-02-12,-3.836,47.07
2020-02-13,-5.615,27.65
2020-02-14,-7.18,0.53
2020-02-15,-4.886,5.24
2020-02-16,-1.005,39.84
2020-02-17,-2.08,37.24
2020-02-18,-1.359,45.5
2020-02-19,-3.547,25.86
2020-02-20,-4.66,0.0
2020-02-21,-2.556,17.27
2020-02-22,-0.841,73.32
2020-02-23,-3.027,60.18
2020-02-24,-5.101,21.45
2020-02-25,-6.114,11.11
2020-02-26,-7.724,0.0
2020-02-27,-11.262,0.62
2020-02-28,-8.327,2.67
2020-02-29,-5.13,1.04
2020-03-01,-5.815,9.5
2020-03-02,-3.177,6.26
2020-03-03,-3.618,1.15
2020-03-04,-3.845,0.02
2020-03-05,-4.919,0.12
2020-03-06,-8.301,0.0
2020-03-07,-10.154,0.0
2020-03-08,-5.203,18.16
2020-03-09,-0.609,24.11
2020-03-10,-1.903,0.01
2020-03-11,-1.942,19.98
2020-03-12,-2.917,22.39
2020-03-13,-3.401,29.88
2020-03-14,-10.755,0.0
2020-03-15,-7.084,13.05
2020-03-16,-1.12,34.19
2020-03-17,-2.217,11.81
2020-03-18,-1.104,12.94
2020-03-19,-3.272,21.36
2020-03-20,-3.903,2.92
2020-03-21,-8.802,0.0
2020-03-22,-9.347,0.0
2020-03-23,-6.446,0.0
2020-03-24,-4.423,0.0
2020-03-25,-1.973,0.0
2020-03-26,0.658,1.94
2020-03-27,0.107,0.47
2020-03-28,-2.363,0.02
2020-03-29,-8.577,0.0
2020-03-30,-5.993,0.4
2020-03-31,-5.61,0.02
2020-04-01,-2.17,0.62
2020-04-02,-1.846,12.07
2020-04-03,-5.179,18.43
2020-04-04,-6.909,0.86
2020-04-05,-2.533,0.07
2020-04-06,-0.16,0.0
2020-04-07,0.849,4.07
2020-04-08,0.195,0.0
2020-04-09,-0.877,1.06
2020-04-10,-5.11,0.0
2020-04-11,-2.398,0.05
2020-04-12,0.044,22.77
2020-04-13,-4.203,4.0
2020-04-14,-5.894,0.0
2020-04-15,-1.269,1.14
2020-04-16,-0.165,5.08
2020-04-17,-4.567,0.0
2020-04-18,-4.014,0.0
2020-04-19,-2.2,0.0
2020-04-20,0.084,0.0
2020-04-21,1.205,0.0
2020-04-22,1.631,0.0
2020-04-23,2.532,0.0
2020-04-24,2.188,0.0
2020-04-25,-0.54,0.0
2020-04-26,0.246,0.0
2020-04-27,0.899,7.62
2020-04-28,-1.021,1.81
2020-04-29,-1.049,0.0
2020-04-30,-1.867,0.0
2020-05-01,-3.033,0.0
2020-05-02,-0.807,0.0
2020-05-03,0.165,0.06
2020-05-04,-1.783,0.09
2020-05-05,-3.73,0.04
2020-05-06,-0.776,0.0
2020-05-07,-0.253,0.01
2020-05-08,0.574,0.0
2020-05-09,-0.538,0.08
2020-05-10,0.046,12.84
2020-05-11,-5.621,0.01
2020-05-12,-3.778,0.63
2020-05-13,-6.015,0.09
2020-05-14,-4.179,0.53
2020-05-15,-1.902,8.22
2020-05-16,-2.643,3.84
2020-05-17,-2.836,3.87
2020-05-18,-1.817,9.68
2020-05-19,-0.084,0.0
2020-05-20,-0.247,0.0
2020-05-21,2.452,0.0
2020-05-22,4.583,0.0
2020-05-23,3.473,13.03
2020-05-24,2.026,15.25
2020-05-25,2.199,12.15
2020-05-26,4.685,0.0
2020-05-27,3.758,0.24
2020-05-28,1.703,0.12
2020-05-29,2.933,0.0
2020-05-30,6.502,0.0
2020-05-31,7.871,0.0
2020-06-01,8.404,0.0
2020-06-02,7.812,0.0
2020-06-03,6.586,0.0
2020-06-04,7.799,0.26
2020-06-05,4.67,0.0
2020-06-06,2.389,13.19
2020-06-07,3.225,15.05
2020-06-08,2.949,1.71
2020-06-09,5.712,4.76
2020-06-10,6.088,0.0
2020-06-11,6.446,0.0
2020-06-12,9.585,0.0
2020-06-13,10.704,0.0
2020-06-14,9.77,2.27
2020-06-15,10.651,0.0
2020-06-16,12.149,0.0
2020-06-17,14.058,0.0
2020-06-18,13.389,0.0
2020-06-19,14.199,0.0
2020-06-20,13.281,3.25
2020-06-21,10.915,20.37
2020-06-22,9.444,4.52
2020-06-23,7.451,0.0
2020-06-24,11.522,0.0
2020-06-25,14.223,0.0
2020-06-26,15.016,0.0
2020-06-27,13.895,0.0
2020-06-28,13.409,4.91
2020-06-29,7.818,0.83
2020-06-30,5.912,5.23
2020-07-01,6.627,2.24
2020-07-02,4.94,0.0
2020-07-03,2.635,3.07
2020-07-04,2.521,21.84
2020-07-05,6.559,5.93
2020-07-06,5.327,41.08
2020-07-07,3.254,3.03
2020-07-08,2.296,0.74
2020-07-09,3.591,0.04
2020-07-10,6.135,0.0
2020-07-11,5.716,2.44
2020-07-12,3.887,0.92
2020-07-13,5.386,0.78
2020-07-14,6.994,3.5
2020-07-15,7.482,10.65
2020-07-16,8.199,0.0
2020-07-17,10.141,0.0
2020-07-18,9.046,11.34
2020-07-19,8.896,44.48
2020-07-20,6.826,12.29
2020-07-21,5.057,0.1
2020-07-22,4.264,0.54
2020-07-23,4.624,0.0
2020-07-24,8.575,0.0
2020-07-25,8.262,0.14
2020-07-26,10.021,6.12
2020-07-27,8.779,36.59
2020-07-28,8.628,6.27
2020-07-29,7.309,40.51
2020-07-30,7.28,4.67
2020-07-31,7.314,13.04
2020-08-01,12.911,0.0
2020-08-02,12.213,5.41
2020-08-03,7.602,6.48
2020-08-04,5.556,0.3
2020-08-05,6.815,5.94
2020-08-06,10.213,8.88
2020-08-07,13.125,0.0
2020-08-08,13.52,0.0
2020-08-09,11.06,0.0
2020-08-10,13.102,0.0
2020-08-11,13.954,0.0
2020-08-12,15.827,0.0
2020-08-13,16.483,0.0
2020-08-14,15.477,0.0
2020-08-15,14.333,0.0
2020-08-16,16.894,0.0
2020-08-17,16.14,0.0
2020-08-18,15.892,0.0
2020-08-19,14.978,1.22
2020-08-20,12.164,5.11
2020-08-21,11.888,2.77
2020-08-22,11.43,24.83
2020-08-23,8.714,20.55
2020-08-24,5.489,8.91
2020-08-25,3.511,1.92
2020-08-26,5.672,0.0
2020-08-27,6.974,0.0
2020-08-28,7.509,1.2
2020-08-29,7.185,0.02
2020-08-30,8.204,0.0
2020-08-31,7.823,0.0
2020-09-01,7.487,0.0
2020-09-02,8.309,0.0
2020-09-03,8.441,0.0
2020-09-04,7.217,11.35
2020-09-05,5.35,43.68
2020-09-06,3.74,19.61
2020-09-07,4.45,0.15
2020-09-08,5.728,3.93
2020-09-09,5.976,29.58
2020-09-10,3.703,3.24
2020-09-11,2.427,10.54
2020-09-12,5.097,36.68
2020-09-13,3.437,38.03
2020-09-14,7.876,20.41
2020-09-15,9.249,2.53
2020-09-16,9.84,2.11
2020-09-17,5.323,0.0
2020-09-18,5.378,0.0
2020-09-19,6.689,0.14
2020-09-20,7.856,0.0
2020-09-21,8.416,0.0
2020-09-22,5.964,0.01
2020-09-23,7.657,7.84
2020-09-24,7.458,24.7
2020-09-25,4.419,7.82
2020-09-26,3.78,0.0
2020-09-27,5.443,0.0
2020-09-28,9.054,0.0
2020-09-29,9.409,0.0
2020-09-30,7.236,1.78
2020-10-01,7.548,7.5
2020-10-02,5.895,0.24
2020-10-03,6.511,0.51
2020-10-04,6.536,0.0
2020-10-05,6.891,15.06
2020-10-06,5.666,0.29
2020-10-07,5.264,0.08
2020-10-08,4.878,5.43
2020-10-09,2.537,15.29
2020-10-10,1.08,1.94
2020-10-11,1.98,0.0
2020-10-12,2.722,0.0
2020-10-13,1.806,0.0
2020-10-14,1.568,0.0
2020-10-15,1.489,0.0
2020-10-16,4.314,0.0
2020-10-17,3.456,0.0
2020-10-18,0.064,0.0
2020-10-19,-2.682,0.02
2020-10-20,-1.775,24.5
2020-10-21,0.725,27.83
2020-10-22,3.559,28.43
2020-10-23,2.429,18.12
2020-10-24,0.095,4.84
2020-10-25,2.891,16.97
2020-10-26,2.336,7.19
2020-10-27,1.676,0.0
2020-10-28,1.289,2.88
2020-10-29,0.83,14.02
2020-10-30,0.816,0.0
2020-10-31,1.502,6.76
2020-11-01,2.476,20.86
2020-11-02,2.778,28.25
2020-11-03,1.605,27.83
2020-11-04,-0.21,11.55
2020-11-05,0.108,4.56
2020-11-06,4.482,4.65
2020-11-07,1.951,0.17
2020-11-08,1.7,0.77
2020-11-09,1.736,0.0
2020-11-10,1.606,0.0
2020-11-11,0.871,0.19
2020-11-12,1.494,0.0
2020-11-13,1.349,0.22
2020-11-14,0.68,12.14
2020-11-15,1.517,4.9
2020-11-16,4.187,17.54
2020-11-17,1.032,11.72
2020-11-18,4.355,35.36
2020-11-19,3.61,92.0
2020-11-20,-5.35,7.62
2020-11-21,-4.189,40.13
2020-11-22,-0.76,33.45
2020-11-23,-1.504,16.28
2020-11-24,-0.943,21.17
2020-11-25,1.947,29.4
2020-11-26,0.341,8.35
2020-11-27,-4.614,0.0
2020-11-28,-6.031,0.0
2020-11-29,-4.081,0.0
2020-11-30,-2.54,0.03
2020-12-01,-1.734,10.44
2020-12-02,-5.358,0.0
2020-12-03,-2.605,1.43
2020-12-04,-3.645,16.35
2020-12-05,-4.692,1.7
2020-12-06,-2.747,0.07
2020-12-07,-2.041,0.41
2020-12-08,-0.832,0.0
2020-12-09,-2.103,0.0
2020-12-10,-2.882,0.49
2020-12-11,-3.194,0.48
2020-12-12,-4.205,0.0
2020-12-13,-3.799,0.0
2020-12-14,-2.508,0.68
2020-12-15,-1.689,6.64
2020-12-16,-0.374,2.92
2020-12-17,-0.095,0.29
2020-12-18,-0.468,4.8
2020-12-19,1.547,1.73
2020-12-20,1.446,3.7
2020-12-21,-0.469,6.04
2020-12-22,-1.421,1.3
2020-12-23,-1.369,13.98
2020-12-24,-5.379,0.0
2020-12-25,-9.876,0.0
2020-12-26,-8.255,4.45
2020-12-27,-3.007,18.59
2020-12-28,-2.143,4.59
2020-12-29,-3.722,0.01
2020-12-30,-2.911,0.0
2020-12-31,-3.792,0.04
