time,tg,rr
2020-01-01,-1.889,0.0
2020-01-02,-0.012,0.0
2020-01-03,0.578,8.39
2020-01-04,-4.515,21.49
2020-01-05,-5.874,1.95
2020-01-06,0.633,1.53
2020-01-07,1.424,0.01
2020-01-08,0.849,35.22
2020-01-09,-2.145,22.12
2020-01-10,-5.618,0.0
2020-01-11,-8.896,0.68
2020-01-12,0.33,31.7
2020-01-13,-3.081,2.26
2020-01-14,-1.95,6.92
2020-01-15,-1.922,29.41
2020-01-16,-1.3,18.64
2020-01-17,-0.582,25.48
2020-01-18,0.197,10.17
2020-01-19,-1.962,0.0
2020-01-20,-1.872,0.0
2020-01-21,2.39,0.46
2020-01-22,-0.843,0.05
2020-01-23,-1.751,0.01
2020-01-24,1.39,0.34
2020-01-25,-1.704,0.03
2020-01-26,0.282,0.0
2020-01-27,0.077,4.19
2020-01-28,-3.302,1.07
2020-01-29,-4.684,4.98
2020-01-30,-4.664,0.09
2020-01-31,-6.545,11.22
2020-02-01,-1.285,12.93
2020-02-02,-0.656,0.87
2020-02-03,-6.481,0.06
2020-02-04,-9.856,14.43
2020-02-05,-5.924,0.51
2020-02-06,-0.344,0.03
2020-02-07,0.606,0.02
2020-02-08,-4.847,0.0
2020-02-09,-1.962,2.97
2020-02-10,-0.621,30.5
2020-02-11,-3.292,10.84
2020-02-12,-3.212,16.29
2020-02-13,-5.232,0.94
2020-02-14,-7.805,0.0
2020-02-15,-5.971,7.6
2020-02-16,-0.83,37.9
2020-02-17,-1.593,38.22
2020-02-18,-0.921,34.92
2020-02-19,-3.187,1.99
2020-02-20,-6.291,0.04
2020-02-21,-3.021,35.25
2020-02-22,-0.556,39.35
2020-02-23,-2.922,51.44
2020-02-24,-5.116,0.01
2020-02-25,-6.553,0.01
2020-02-26,-7.652,0.6
2020-02-27,-13.014,2.11
2020-02-28,-9.555,6.41
2020-02-29,-5.528,3.42
2020-03-01,-5.8,30.97
2020-03-02,-3.726,19.86
2020-03-03,-2.653,2.16
2020-03-04,-3.561,11.01
