time,tg,rr
2020-01-01,-4.029,4.23
2020-01-02,-2.28,0.01
2020-01-03,-1.43,9.55
2020-01-04,-6.83,36.29
2020-01-05,-7.83,0.94
2020-01-06,-0.921,11.33
2020-01-07,-0.07,0.07
2020-01-08,-1.309,38.59
2020-01-09,-4.13,56.22
2020-01-10,-7.881,0.67
2020-01-11,-8.3,0.63
2020-01-12,-2.18,48.82
2020-01-13,-5.57,17.4
2020-01-14,-4.5,2.99
2020-01-15,-4.07,13.72
2020-01-16,-3.51,5.91
2020-01-17,-2.65,12.01
2020-01-18,-1.61,9.25
2020-01-19,-3.67,11.18
2020-01-20,-5.16,2.71
2020-01-21,-0.31,15.15
2020-01-22,-3.21,7.71
2020-01-23,-5.61,0.76
2020-01-24,-1.48,12.86
2020-01-25,-4.15,4.2
2020-01-26,-2.3,0.04
2020-01-27,-2.329,0.08
2020-01-28,-5.23,1.05
2020-01-29,-7.921,0.59
2020-01-30,-6.651,1.4
2020-01-31,-8.901,2.12
2020-02-01,-3.679,10.06
2020-02-02,-2.83,3.49
2020-02-03,-7.62,3.76
2020-02-04,-10.62,7.93
2020-02-05,-8.78,0.31
2020-02-06,-2.87,7.15
2020-02-07,-1.43,3.83
2020-02-08,-3.489,0.0
2020-02-09,-4.149,1.11
2020-02-10,-2.7,16.96
2020-02-11,-5.18,25.42
2020-02-12,-5.45,21.48
2020-02-13,-7.03,16.77
2020-02-14,-8.631,0.92
2020-02-15,-6.789,0.61
2020-02-16,-3.19,25.29
2020-02-17,-3.67,18.09
2020-02-18,-2.61,51.29
2020-02-19,-4.88,7.88
2020-02-20,-7.47,2.27
2020-02-21,-4.54,35.46
2020-02-22,-2.699,48.26
2020-02-23,-4.72,39.77
2020-02-24,-7.01,3.41
2020-02-25,-9.391,4.7
2020-02-26,-11.15,0.38
2020-02-27,-14.512,12.16
2020-02-28,-11.14,5.68
2020-02-29,-8.14,6.42
2020-03-01,-9.021,37.36
2020-03-02,-6.52,34.72
2020-03-03,-5.13,0.17
2020-03-04,-6.05,1.41
2020-03-05,-6.29,3.54
2020-03-06,-9.601,0.14
2020-03-07,-12.481,0.0
2020-03-08,-9.23,4.3
2020-03-09,-2.229,2.49
2020-03-10,-3.82,0.16
2020-03-11,-3.67,27.22
2020-03-12,-4.78,19.06
2020-03-13,-6.03,3.69
2020-03-14,-11.441,0.24
2020-03-15,-9.669,52.5
2020-03-16,-3.009,4.63
2020-03-17,-4.06,4.2
2020-03-18,-2.95,11.53
2020-03-19,-4.91,30.58
2020-03-20,-5.439,0.14
2020-03-21,-11.211,0.0
2020-03-22,-12.822,0.01
2020-03-23,-7.99,0.09
2020-03-24,-4.691,7.67
2020-03-25,-1.97,1.24
2020-03-26,0.35,0.0
2020-03-27,-0.371,0.0
2020-03-28,-3.36,2.82
2020-03-29,-9.641,0.46
2020-03-30,-7.25,9.93
2020-03-31,-6.671,0.0
2020-04-01,-3.67,0.99
2020-04-02,-3.17,12.42
2020-04-03,-6.96,8.78
2020-04-04,-8.63,1.44
2020-04-05,-6.18,2.13
2020-04-06,-1.53,0.37
2020-04-07,0.22,3.58
2020-04-08,-1.49,0.0
2020-04-09,-2.28,10.72
2020-04-10,-6.37,0.0
2020-04-11,-5.96,0.26
2020-04-12,-1.22,14.65
2020-04-13,-6.5,7.21
2020-04-14,-8.07,0.0
2020-04-15,-2.79,21.62
2020-04-16,-1.93,13.74
2020-04-17,-6.43,0.0
2020-04-18,-6.591,0.0
2020-04-19,-4.87,0.0
2020-04-20,-1.37,0.0
2020-04-21,0.719,0.0
2020-04-22,1.219,0.0
2020-04-23,1.629,0.0
2020-04-24,0.759,0.01
2020-04-25,-2.221,0.03
2020-04-26,-1.68,0.0
2020-04-27,-0.61,6.71
2020-04-28,-2.741,5.19
2020-04-29,-4.951,0.13
2020-04-30,-4.44,0.16
2020-05-01,-4.321,2.05
2020-05-02,-2.49,0.19
2020-05-03,-1.44,0.13
2020-05-04,-3.44,0.0
2020-05-05,-6.42,0.0
2020-05-06,-3.96,2.31
2020-05-07,-2.09,0.38
2020-05-08,-1.58,0.39
2020-05-09,-2.24,0.01
2020-05-10,-2.84,3.29
2020-05-11,-7.22,2.75
2020-05-12,-6.45,1.32
2020-05-13,-7.64,0.16
2020-05-14,-7.07,0.84
2020-05-15,-4.889,2.22
2020-05-16,-5.17,4.13
2020-05-17,-5.139,1.99
2020-05-18,-3.43,0.66
2020-05-19,-2.88,0.0
2020-05-20,-3.299,0.0
2020-05-21,-0.26,0.0
2020-05-22,3.23,0.0
2020-05-23,1.979,6.82
2020-05-24,1.261,8.55
2020-05-25,1.081,2.03
2020-05-26,2.55,0.0
2020-05-27,2.67,1.3
2020-05-28,0.03,0.27
2020-05-29,-0.5,0.0
2020-05-30,3.23,0.0
2020-05-31,5.58,0.0
2020-06-01,5.57,0.0
2020-06-02,6.249,0.0
2020-06-03,5.06,0.0
2020-06-04,4.98,1.44
2020-06-05,3.15,0.55
2020-06-06,2.1,13.2
2020-06-07,1.8,7.93
2020-06-08,1.87,0.62
2020-06-09,3.27,0.0
2020-06-10,3.821,0.0
2020-06-11,4.982,0.0
2020-06-12,7.651,0.1
2020-06-13,7.481,0.0
2020-06-14,7.17,0.0
2020-06-15,7.491,0.0
2020-06-16,9.181,0.06
2020-06-17,10.11,0.0
2020-06-18,10.01,0.0
2020-06-19,10.77,0.0
2020-06-20,11.001,0.03
