time,tg,rr
2021-01-01,-6.074,0.4
2021-01-02,-7.869,2.92
2021-01-03,-8.413,1.21
2021-01-04,-13.677,0.0
2021-01-05,-14.344,0.39
2021-01-06,-14.641,0.0
2021-01-07,-14.705,0.0
2021-01-08,-18.106,0.0
2021-01-09,-17.355,0.0
2021-01-10,-11.078,3.12
2021-01-11,-9.247,4.61
2021-01-12,-12.173,0.84
2021-01-13,-9.382,0.68
2021-01-14,-14.31,0.0
2021-01-15,-18.11,0.0
2021-01-16,-18.038,0.0
2021-01-17,-17.129,0.73
2021-01-18,-11.539,0.47
2021-01-19,-8.345,0.89
2021-01-20,-8.678,1.49
2021-01-21,-7.156,2.14
2021-01-22,-4.926,1.24
2021-01-23,-4.103,12.64
2021-01-24,-5.602,5.88
2021-01-25,-12.991,0.0
2021-01-26,-22.359,1.52
2021-01-27,-15.099,0.01
2021-01-28,-21.226,0.0
2021-01-29,-17.046,0.38
2021-01-30,-14.283,0.13
2021-01-31,-10.803,0.0
2021-02-01,-13.799,0.08
2021-02-02,-17.206,0.0
2021-02-03,-19.622,0.0
2021-02-04,-21.731,1.32
2021-02-05,-22.656,0.0
2021-02-06,-20.274,1.66
2021-02-07,-18.569,0.6
2021-02-08,-20.51,0.0
2021-02-09,-18.781,1.33
2021-02-10,-17.354,0.0
2021-02-11,-18.963,0.0
2021-02-12,-20.884,0.43
2021-02-13,-18.382,0.0
2021-02-14,-17.115,0.0
2021-02-15,-16.205,0.0
2021-02-16,-13.34,1.12
2021-02-17,-10.04,0.42
2021-02-18,-10.039,1.14
2021-02-19,-8.296,0.63
2021-02-20,-6.482,2.37
2021-02-21,-2.207,2.13
2021-02-22,-0.65,0.62
2021-02-23,-1.674,5.31
2021-02-24,-2.042,8.85
2021-02-25,1.435,1.18
2021-02-26,-0.644,3.66
2021-02-27,-2.178,0.0
2021-02-28,-0.628,0.09
2021-03-01,-1.854,0.25
2021-03-02,-1.17,0.0
2021-03-03,-1.169,0.0
2021-03-04,-4.679,0.02
2021-03-05,-9.259,0.0
2021-03-06,-7.122,1.45
2021-03-07,-4.977,0.01
2021-03-08,-10.822,0.0
2021-03-09,-10.328,0.03
