time,tg,rr
2021-01-01,-5.874,0.0
2021-01-02,-8.225,0.15
2021-01-03,-7.135,0.0
2021-01-04,-9.696,0.0
2021-01-05,-10.916,0.0
2021-01-06,-11.251,0.0
2021-01-07,-13.53,0.0
2021-01-08,-15.115,0.0
2021-01-09,-14.872,0.0
2021-01-10,-8.573,6.6
2021-01-11,-5.901,20.01
2021-01-12,-9.999,0.0
2021-01-13,-7.597,0.03
2021-01-14,-12.061,0.0
2021-01-15,-14.115,0.0
2021-01-16,-12.99,0.0
2021-01-17,-12.728,0.0
2021-01-18,-6.941,1.5
2021-01-19,-5.682,4.53
2021-01-20,-5.867,0.0
2021-01-21,-4.364,14.72
2021-01-22,-2.475,32.1
2021-01-23,-3.318,19.82
2021-01-24,-7.499,0.27
2021-01-25,-13.426,0.0
2021-01-26,-13.543,0.0
2021-01-27,-10.368,0.0
2021-01-28,-15.117,0.0
2021-01-29,-15.077,0.0
2021-01-30,-14.442,0.03
2021-01-31,-10.584,0.0
2021-02-01,-8.984,8.45
2021-02-02,-14.016,0.0
2021-02-03,-16.416,0.33
2021-02-04,-15.332,0.0
2021-02-05,-19.583,0.0
2021-02-06,-17.402,0.0
2021-02-07,-16.946,0.0
2021-02-08,-16.936,0.0
2021-02-09,-14.138,0.0
2021-02-10,-15.993,0.0
2021-02-11,-14.963,0.0
2021-02-12,-18.585,0.0
2021-02-13,-15.941,0.0
2021-02-14,-14.866,0.0
2021-02-15,-10.364,0.41
2021-02-16,-7.159,2.32
2021-02-17,-7.463,10.68
2021-02-18,-7.73,5.74
2021-02-19,-5.205,0.0
2021-02-20,-1.973,8.15
2021-02-21,1.207,16.6
2021-02-22,1.614,1.2
2021-02-23,1.086,10.78
2021-02-24,-0.226,9.75
2021-02-25,1.138,67.91
2021-02-26,-0.199,43.35
2021-02-27,-0.421,0.82
2021-02-28,-0.542,0.0
2021-03-01,-2.254,0.0
2021-03-02,-1.306,0.0
2021-03-03,-3.054,0.0
2021-03-04,-4.947,0.0
2021-03-05,-9.106,0.0
2021-03-06,-5.806,0.27
2021-03-07,-3.653,0.46
2021-03-08,-9.566,0.0
2021-03-09,-9.652,0.0
2021-03-10,-7.173,0.0
2021-03-11,-5.495,14.17
2021-03-12,-2.701,11.57
2021-03-13,-3.556,28.46
2021-03-14,-4.897,4.47
2021-03-15,-4.06,0.1
2021-03-16,-5.71,0.0
2021-03-17,-8.378,0.0
2021-03-18,-6.719,0.0
2021-03-19,-4.45,0.0
2021-03-20,-3.11,0.02
2021-03-21,-2.184,0.36
2021-03-22,-3.747,6.89
2021-03-23,-0.374,4.78
2021-03-24,0.074,6.75
2021-03-25,-1.299,7.09
2021-03-26,-1.183,5.73
2021-03-27,-0.972,6.71
2021-03-28,-2.886,4.63
2021-03-29,-0.714,15.24
2021-03-30,2.436,42.56
2021-03-31,2.489,7.85
2021-04-01,-0.882,3.13
2021-04-02,-2.226,3.05
2021-04-03,-3.24,0.0
2021-04-04,-1.706,0.0
2021-04-05,-4.666,6.62
2021-04-06,-7.278,4.23
2021-04-07,-6.18,2.09
2021-04-08,-6.151,4.38
2021-04-09,-4.451,44.91
2021-04-10,-5.853,14.37
2021-04-11,-7.603,0.71
2021-04-12,-6.373,0.26
2021-04-13,-6.018,0.0
2021-04-14,-6.386,0.0
2021-04-15,-5.613,0.0
2021-04-16,-4.891,0.02
2021-04-17,-3.299,0.0
2021-04-18,-0.223,0.0
2021-04-19,2.681,0.0
2021-04-20,2.618,0.0
2021-04-21,0.845,4.39
2021-04-22,-3.201,2.88
2021-04-23,-3.161,0.15
2021-04-24,-3.785,0.0
2021-04-25,-5.542,0.0
2021-04-26,-4.856,0.0
2021-04-27,-3.903,0.0
2021-04-28,-2.387,0.0
2021-04-29,-1.579,0.0
2021-04-30,-2.397,0.0
2021-05-01,-2.148,0.19
2021-05-02,-1.725,0.0
2021-05-03,-2.018,6.05
2021-05-04,-3.192,0.65
2021-05-05,-2.033,0.0
2021-05-06,-2.299,0.0
2021-05-07,-2.529,0.0
2021-05-08,-1.696,0.82
2021-05-09,0.062,0.0
2021-05-10,0.983,7.41
2021-05-11,3.523,0.51
2021-05-12,4.077,0.0
2021-05-13,3.906,0.78
2021-05-14,6.268,0.59
2021-05-15,5.96,2.23
2021-05-16,3.795,4.91
2021-05-17,3.185,0.0
2021-05-18,3.475,5.29
2021-05-19,1.828,0.0
2021-05-20,2.287,1.88
2021-05-21,0.864,0.03
2021-05-22,2.453,0.0
2021-05-23,2.957,0.0
2021-05-24,3.323,3.85
2021-05-25,2.627,0.49
2021-05-26,4.137,0.01
2021-05-27,4.431,0.09
2021-05-28,6.185,0.0
2021-05-29,8.724,0.0
2021-05-30,10.687,0.0
2021-05-31,12.264,0.0
2021-06-01,13.061,0.0
2021-06-02,12.56,0.02
2021-06-03,9.024,0.1
2021-06-04,8.738,0.0
2021-06-05,9.941,0.0
2021-06-06,11.482,3.63
2021-06-07,9.565,0.0
2021-06-08,10.325,0.0
2021-06-09,9.972,0.0
2021-06-10,9.519,0.19
2021-06-11,10.216,0.25
2021-06-12,7.83,10.33
2021-06-13,3.316,4.13
2021-06-14,6.627,4.54
2021-06-15,4.998,38.51
2021-06-16,3.985,0.66
2021-06-17,8.475,0.0
2021-06-18,11.266,9.89
2021-06-19,9.336,3.06
2021-06-20,8.078,9.55
2021-06-21,8.612,18.48
2021-06-22,7.717,0.0
2021-06-23,10.703,0.0
2021-06-24,11.065,0.0
2021-06-25,12.293,0.07
2021-06-26,13.211,4.59
2021-06-27,12.958,0.4
2021-06-28,11.204,0.0
2021-06-29,12.406,0.0
2021-06-30,13.828,0.02
2021-07-01,13.181,0.0
