time,tg,rr
2021-01-01,-5.605,0.0
2021-01-02,-7.325,0.07
2021-01-03,-6.021,0.0
2021-01-04,-8.84,0.0
2021-01-05,-9.75,0.0
2021-01-06,-10.425,0.0
2021-01-07,-14.214,0.0
2021-01-08,-15.34,0.0
2021-01-09,-14.295,0.0
2021-01-10,-9.015,6.86
2021-01-11,-5.185,18.84
2021-01-12,-8.896,0.93
2021-01-13,-6.389,0.01
2021-01-14,-10.241,0.0
2021-01-15,-14.19,0.0
2021-01-16,-14.229,0.0
2021-01-17,-12.902,0.0
2021-01-18,-6.483,0.67
2021-01-19,-4.958,4.73
2021-01-20,-4.707,0.0
2021-01-21,-3.398,10.86
2021-01-22,-1.742,65.18
2021-01-23,-2.56,21.02
2021-01-24,-7.169,0.01
2021-01-25,-13.588,0.0
2021-01-26,-13.696,0.0
2021-01-27,-9.744,0.38
2021-01-28,-15.24,0.0
2021-01-29,-15.801,0.0
2021-01-30,-14.757,0.01
2021-01-31,-9.482,0.0
2021-02-01,-7.947,5.16
2021-02-02,-12.896,0.0
2021-02-03,-16.443,0.0
2021-02-04,-13.29,0.0
2021-02-05,-17.781,0.0
2021-02-06,-15.341,0.0
2021-02-07,-14.677,0.0
2021-02-08,-14.742,0.0
2021-02-09,-12.398,0.0
2021-02-10,-14.81,0.0
2021-02-11,-14.179,0.0
2021-02-12,-17.943,0.0
2021-02-13,-15.538,0.0
2021-02-14,-14.05,0.0
2021-02-15,-9.026,0.0
2021-02-16,-6.284,2.13
2021-02-17,-6.488,7.03
2021-02-18,-6.623,3.65
2021-02-19,-3.848,1.12
2021-02-20,-1.119,5.16
2021-02-21,1.8,9.54
2021-02-22,2.099,0.0
2021-02-23,1.657,4.28
2021-02-24,0.588,8.81
2021-02-25,1.962,49.61
2021-02-26,0.806,29.26
2021-02-27,0.603,1.16
2021-02-28,0.636,0.0
2021-03-01,-0.525,0.0
2021-03-02,0.053,0.0
2021-03-03,-1.92,0.0
2021-03-04,-3.375,0.0
2021-03-05,-7.32,0.0
2021-03-06,-4.642,0.01
2021-03-07,-2.164,0.5
2021-03-08,-7.741,0.0
2021-03-09,-8.75,0.0
2021-03-10,-6.174,0.0
2021-03-11,-4.442,20.84
2021-03-12,-1.717,10.1
2021-03-13,-2.441,25.5
2021-03-14,-3.869,3.19
2021-03-15,-3.135,3.6
2021-03-16,-4.264,0.0
2021-03-17,-6.964,0.0
2021-03-18,-5.743,0.0
2021-03-19,-3.429,0.0
2021-03-20,-2.171,0.0
2021-03-21,-0.679,0.37
2021-03-22,-2.664,0.2
2021-03-23,0.488,0.94
2021-03-24,1.1,4.23
2021-03-25,-0.079,4.58
2021-03-26,0.094,2.33
2021-03-27,-0.1,10.22
2021-03-28,-1.638,2.38
2021-03-29,0.028,12.07
2021-03-30,3.2,39.1
2021-03-31,3.471,14.74
2021-04-01,0.444,1.44
2021-04-02,-0.897,0.15
2021-04-03,-1.739,0.03
2021-04-04,-0.292,0.0
2021-04-05,-3.153,14.54
2021-04-06,-5.941,0.53
2021-04-07,-4.877,0.39
2021-04-08,-4.531,1.42
2021-04-09,-3.574,37.28
2021-04-10,-4.486,12.23
2021-04-11,-6.057,0.46
2021-04-12,-5.093,0.01
2021-04-13,-4.369,0.0
2021-04-14,-4.746,0.0
2021-04-15,-3.554,0.0
2021-04-16,-2.934,0.0
2021-04-17,-1.668,0.0
2021-04-18,1.95,0.0
2021-04-19,4.16,0.0
2021-04-20,4.045,0.0
2021-04-21,2.477,0.73
2021-04-22,-1.779,0.24
2021-04-23,-1.676,0.24
2021-04-24,-2.171,0.0
2021-04-25,-3.622,0.0
2021-04-26,-3.153,0.0
2021-04-27,-2.318,0.0
2021-04-28,-0.98,0.0
2021-04-29,-0.2,0.0
2021-04-30,-0.807,0.0
2021-05-01,-0.811,0.3
2021-05-02,-0.494,0.0
2021-05-03,-0.973,1.87
2021-05-04,-1.623,0.04
2021-05-05,-0.816,0.0
2021-05-06,-0.899,0.0
2021-05-07,-1.237,0.0
2021-05-08,-0.526,0.31
2021-05-09,1.436,0.21
2021-05-10,1.795,7.21
2021-05-11,5.019,2.74
2021-05-12,5.26,0.0
2021-05-13,4.538,1.35
2021-05-14,7.434,0.0
2021-05-15,7.025,3.37
2021-05-16,5.265,3.3
2021-05-17,4.211,0.0
2021-05-18,4.706,6.71
2021-05-19,2.962,0.0
2021-05-20,3.626,0.34
2021-05-21,2.178,0.01
2021-05-22,3.318,0.0
2021-05-23,4.25,0.01
2021-05-24,4.339,3.14
2021-05-25,3.662,6.23
2021-05-26,5.715,0.0
2021-05-27,5.56,0.16
2021-05-28,7.518,0.0
2021-05-29,9.921,0.0
2021-05-30,12.144,0.0
2021-05-31,13.508,0.01
