time,tg,rr
2021-01-01,-5.519,0.0
2021-01-02,-9.136,5.63
2021-01-03,-9.904,2.78
2021-01-04,-11.771,0.57
2021-01-05,-12.766,0.0
2021-01-06,-10.901,0.0
2021-01-07,-10.921,0.02
2021-01-08,-14.23,0.0
2021-01-09,-14.474,0.0
2021-01-10,-9.828,16.15
2021-01-11,-10.054,21.26
2021-01-12,-12.827,8.32
2021-01-13,-9.604,14.55
2021-01-14,-14.344,0.63
2021-01-15,-14.465,0.0
2021-01-16,-13.503,0.02
2021-01-17,-11.771,0.0
2021-01-18,-9.294,1.62
2021-01-19,-9.265,0.05
2021-01-20,-9.556,0.04
2021-01-21,-7.586,39.81
2021-01-22,-4.541,31.57
2021-01-23,-4.357,19.52
2021-01-24,-6.055,6.98
2021-01-25,-11.937,0.04
2021-01-26,-13.512,0.0
2021-01-27,-11.868,0.12
2021-01-28,-14.845,0.0
2021-01-29,-14.581,0.0
2021-01-30,-12.767,1.94
2021-01-31,-9.794,2.71
2021-02-01,-12.859,0.03
2021-02-02,-16.483,0.01
2021-02-03,-17.41,0.0
2021-02-04,-18.898,0.0
2021-02-05,-20.386,0.0
2021-02-06,-18.504,0.0
2021-02-07,-18.143,0.0
2021-02-08,-18.959,0.0
2021-02-09,-18.224,0.0
2021-02-10,-17.552,0.0
2021-02-11,-16.281,0.07
2021-02-12,-18.852,0.02
2021-02-13,-17.683,0.0
2021-02-14,-16.642,0.0
2021-02-15,-13.069,0.0
2021-02-16,-9.336,5.79
2021-02-17,-7.579,0.12
2021-02-18,-8.86,1.67
2021-02-19,-6.446,12.27
2021-02-20,-4.234,6.26
2021-02-21,-1.014,28.43
2021-02-22,0.287,6.77
2021-02-23,-0.397,14.58
2021-02-24,-1.497,25.42
2021-02-25,0.559,13.24
2021-02-26,-1.216,27.39
2021-02-27,-2.249,2.15
2021-02-28,-0.898,3.25
2021-03-01,-2.288,0.0
2021-03-02,-1.264,1.91
2021-03-03,-1.238,1.18
2021-03-04,-5.182,2.25
2021-03-05,-8.762,0.4
2021-03-06,-6.336,1.7
2021-03-07,-5.93,9.41
2021-03-08,-10.453,0.0
2021-03-09,-10.081,0.03
2021-03-10,-6.497,0.03
2021-03-11,-7.67,43.62
2021-03-12,-5.337,16.81
2021-03-13,-4.53,2.47
2021-03-14,-5.777,0.48
2021-03-15,-7.229,0.0
2021-03-16,-5.852,0.16
2021-03-17,-8.555,0.04
2021-03-18,-6.32,0.0
2021-03-19,-4.225,0.0
2021-03-20,-3.006,1.82
2021-03-21,-3.362,19.32
2021-03-22,-5.117,3.46
2021-03-23,-1.366,3.0
2021-03-24,-0.214,4.77
2021-03-25,-3.38,5.01
2021-03-26,-2.952,4.36
2021-03-27,-1.23,8.99
2021-03-28,-3.79,2.64
2021-03-29,-2.725,6.1
2021-03-30,-0.88,29.77
2021-03-31,-1.441,20.97
2021-04-01,-5.246,0.12
2021-04-02,-5.159,4.77
2021-04-03,-5.676,1.96
2021-04-04,-3.926,0.0
2021-04-05,-5.738,40.97
2021-04-06,-8.72,72.18
2021-04-07,-6.328,12.25
2021-04-08,-7.453,3.89
2021-04-09,-7.532,24.69
2021-04-10,-7.17,7.94
2021-04-11,-7.235,14.85
2021-04-12,-7.573,0.0
2021-04-13,-7.181,0.0
2021-04-14,-6.819,1.07
2021-04-15,-6.163,0.05
2021-04-16,-6.145,0.01
2021-04-17,-4.821,0.01
2021-04-18,-1.166,0.0
