time,tg,rr
2021-01-01,-7.56,0.35
2021-01-02,-9.368,0.02
2021-01-03,-9.688,0.25
2021-01-04,-14.181,0.03
2021-01-05,-14.497,0.0
2021-01-06,-20.543,0.02
2021-01-07,-21.949,0.05
2021-01-08,-22.97,0.01
2021-01-09,-22.179,0.0
2021-01-10,-11.745,2.52
2021-01-11,-8.441,6.49
2021-01-12,-12.091,2.23
2021-01-13,-9.849,28.28
2021-01-14,-14.672,0.0
2021-01-15,-17.591,0.01
2021-01-16,-18.119,0.05
2021-01-17,-17.781,0.13
2021-01-18,-10.379,0.01
2021-01-19,-7.638,0.12
2021-01-20,-8.0,3.13
2021-01-21,-7.2,4.93
2021-01-22,-4.331,3.14
2021-01-23,-4.461,7.46
2021-01-24,-7.203,0.04
2021-01-25,-16.574,0.01
2021-01-26,-16.742,0.22
2021-01-27,-13.699,0.26
2021-01-28,-19.879,0.01
2021-01-29,-18.881,0.11
2021-01-30,-17.191,0.0
2021-01-31,-11.639,0.22
2021-02-01,-12.291,1.01
2021-02-02,-18.832,0.07
2021-02-03,-20.119,0.0
2021-02-04,-20.728,0.0
2021-02-05,-22.19,0.01
2021-02-06,-19.408,0.09
2021-02-07,-19.889,0.01
2021-02-08,-19.9,0.0
2021-02-09,-18.588,0.0
2021-02-10,-18.091,0.03
2021-02-11,-18.05,0.22
2021-02-12,-21.721,0.02
2021-02-13,-20.91,0.0
2021-02-14,-19.47,0.01
2021-02-15,-16.86,0.7
2021-02-16,-10.059,4.42
2021-02-17,-9.9,10.91
2021-02-18,-10.02,0.63
2021-02-19,-7.481,4.81
2021-02-20,-4.8,0.71
2021-02-21,0.001,2.9
2021-02-22,-0.239,0.01
2021-02-23,0.36,3.09
2021-02-24,-1.939,12.85
2021-02-25,0.5,7.5
2021-02-26,-1.34,4.25
2021-02-27,-2.28,1.67
2021-02-28,-1.32,0.78
2021-03-01,-3.07,0.04
2021-03-02,-1.99,3.12
2021-03-03,-3.561,1.03
2021-03-04,-5.67,0.0
2021-03-05,-10.369,0.0
2021-03-06,-7.209,10.11
2021-03-07,-5.29,6.88
2021-03-08,-11.461,0.02
2021-03-09,-11.339,0.0
2021-03-10,-9.161,0.2
2021-03-11,-8.27,6.96
2021-03-12,-5.201,12.03
2021-03-13,-5.849,0.92
2021-03-14,-7.02,0.01
2021-03-15,-6.28,6.38
2021-03-16,-7.52,2.03
2021-03-17,-9.162,0.0
2021-03-18,-8.82,0.0
2021-03-19,-5.71,0.0
2021-03-20,-4.649,1.78
2021-03-21,-3.52,6.67
2021-03-22,-5.49,7.13
2021-03-23,-2.02,0.89
2021-03-24,-0.96,0.56
