time,tg,rr
2021-01-01,-5.729,0.02
2021-01-02,-8.638,0.0
2021-01-03,-7.611,0.0
2021-01-04,-12.046,0.03
2021-01-05,-11.812,0.01
2021-01-06,-16.012,0.24
2021-01-07,-19.5,0.01
2021-01-08,-20.78,0.0
2021-01-09,-20.482,0.0
2021-01-10,-10.518,1.95
2021-01-11,-6.18,0.66
2021-01-12,-10.103,0.32
2021-01-13,-7.153,3.4
2021-01-14,-10.699,0.52
2021-01-15,-15.422,0.01
2021-01-16,-16.254,0.0
2021-01-17,-15.743,0.11
2021-01-18,-9.549,0.02
2021-01-19,-6.108,3.73
2021-01-20,-5.806,0.88
2021-01-21,-5.087,42.29
2021-01-22,-2.42,15.18
2021-01-23,-2.551,9.62
2021-01-24,-5.513,1.06
2021-01-25,-16.034,0.16
2021-01-26,-15.194,0.0
2021-01-27,-12.574,0.01
2021-01-28,-18.238,0.0
2021-01-29,-18.325,0.0
2021-01-30,-17.129,0.14
2021-01-31,-9.451,0.05
2021-02-01,-10.712,1.02
2021-02-02,-19.942,0.32
2021-02-03,-19.006,0.0
2021-02-04,-17.5,0.0
2021-02-05,-22.815,0.12
2021-02-06,-16.757,0.0
2021-02-07,-17.129,0.05
2021-02-08,-16.107,0.0
2021-02-09,-13.732,0.0
2021-02-10,-15.622,0.04
2021-02-11,-14.432,0.32
2021-02-12,-20.617,0.01
2021-02-13,-19.87,0.0
2021-02-14,-18.601,0.0
2021-02-15,-15.781,4.48
2021-02-16,-8.039,10.09
2021-02-17,-7.376,20.53
2021-02-18,-7.859,11.76
2021-02-19,-6.349,21.1
2021-02-20,-2.848,7.24
2021-02-21,1.15,15.39
2021-02-22,2.068,0.0
2021-02-23,1.13,0.68
2021-02-24,0.18,37.52
2021-02-25,1.977,10.53
2021-02-26,0.698,1.65
2021-02-27,0.729,0.02
2021-02-28,1.51,0.0
2021-03-01,0.93,0.02
2021-03-02,0.07,0.0
2021-03-03,-2.81,0.39
2021-03-04,-2.95,0.02
2021-03-05,-6.87,0.19
2021-03-06,-4.22,0.02
2021-03-07,-2.53,2.7
2021-03-08,-9.19,0.21
2021-03-09,-9.53,0.0
2021-03-10,-7.76,0.0
2021-03-11,-5.71,4.7
2021-03-12,-2.46,14.89
2021-03-13,-2.35,4.24
2021-03-14,-3.94,0.19
2021-03-15,-3.57,8.01
2021-03-16,-4.2,0.07
2021-03-17,-6.27,0.2
2021-03-18,-6.59,0.0
2021-03-19,-2.92,0.0
2021-03-20,-1.71,0.05
2021-03-21,-0.39,0.56
2021-03-22,-2.1,0.07
2021-03-23,1.08,0.0
2021-03-24,1.84,0.27
2021-03-25,-0.3,3.0
2021-03-26,-0.06,3.27
2021-03-27,0.2,2.11
2021-03-28,-2.17,0.02
2021-03-29,-0.372,21.11
2021-03-30,3.57,8.05
2021-03-31,4.48,4.02
2021-04-01,0.58,0.13
2021-04-02,-0.49,0.02
2021-04-03,-1.36,0.06
2021-04-04,-0.08,0.0
2021-04-05,-3.47,17.01
2021-04-06,-6.19,2.83
2021-04-07,-4.05,0.0
2021-04-08,-4.77,2.42
2021-04-09,-4.1,31.96
2021-04-10,-4.64,1.08
2021-04-11,-5.99,0.02
2021-04-12,-5.22,0.12
2021-04-13,-3.76,0.39
2021-04-14,-4.48,0.02
2021-04-15,-5.13,0.04
2021-04-16,-5.37,0.0
2021-04-17,-4.31,0.0
2021-04-18,-0.639,0.0
2021-04-19,1.28,0.01
2021-04-20,1.52,0.24
2021-04-21,1.891,0.76
2021-04-22,-1.74,0.48
2021-04-23,-1.97,0.2
2021-04-24,-3.16,0.0
2021-04-25,-5.25,0.01
2021-04-26,-4.83,0.0
2021-04-27,-4.82,0.01
2021-04-28,-2.76,0.78
2021-04-29,-1.92,0.19
2021-04-30,-2.95,0.06
2021-05-01,-1.79,0.0
2021-05-02,-1.74,0.11
2021-05-03,-1.06,1.3
2021-05-04,-1.95,0.0
2021-05-05,-1.13,1.69
2021-05-06,-1.36,1.11
2021-05-07,-2.04,0.03
2021-05-08,-0.85,0.16
2021-05-09,0.29,3.8
2021-05-10,0.84,13.08
2021-05-11,3.921,7.92
2021-05-12,4.711,0.0
2021-05-13,4.32,1.16
2021-05-14,6.32,0.12
2021-05-15,6.66,3.3
2021-05-16,4.74,2.36
2021-05-17,3.91,1.52
2021-05-18,4.76,0.32
2021-05-19,3.84,0.0
2021-05-20,4.3,0.0
2021-05-21,3.13,0.02
2021-05-22,3.89,0.08
2021-05-23,3.89,3.19
2021-05-24,4.4,5.26
2021-05-25,3.77,4.42
2021-05-26,4.13,1.01
2021-05-27,5.03,0.39
2021-05-28,6.53,0.0
2021-05-29,8.67,0.01
2021-05-30,11.48,0.0
2021-05-31,12.06,0.0
2021-06-01,13.11,0.0
2021-06-02,13.22,0.0
2021-06-03,10.73,0.0
2021-06-04,10.61,0.0
2021-06-05,10.05,0.0
2021-06-06,12.06,0.11
2021-06-07,10.52,0.03
2021-06-08,11.62,0.0
2021-06-09,11.14,0.0
2021-06-10,11.07,1.4
2021-06-11,11.03,0.0
2021-06-12,9.43,2.17
2021-06-13,5.53,0.08
2021-06-14,7.64,2.22
2021-06-15,6.68,12.56
2021-06-16,5.95,0.0
2021-06-17,8.81,0.0
2021-06-18,11.92,13.34
2021-06-19,10.16,5.53
2021-06-20,8.54,19.31
2021-06-21,10.06,15.61
2021-06-22,9.28,0.0
2021-06-23,11.76,0.0
2021-06-24,12.32,0.0
2021-06-25,13.71,0.02
2021-06-26,14.18,0.05
2021-06-27,14.57,0.04
2021-06-28,13.66,0.0
2021-06-29,14.87,0.0
2021-06-30,15.71,0.03
2021-07-01,12.75,0.0
2021-07-02,14.12,0.61
2021-07-03,15.49,0.0
2021-07-04,15.59,0.0
2021-07-05,14.54,4.42
2021-07-06,13.02,43.15
2021-07-07,11.51,6.68
2021-07-08,10.39,2.57
2021-07-09,10.57,24.49
2021-07-10,11.18,1.29
2021-07-11,12.34,3.66
2021-07-12,10.26,0.0
2021-07-13,13.9,0.0
2021-07-14,15.51,0.03
2021-07-15,15.4,4.78
2021-07-16,14.21,0.0
2021-07-17,15.03,0.03
2021-07-18,11.52,0.0
2021-07-19,8.12,0.0
2021-07-20,11.33,0.01
2021-07-21,10.54,0.0
2021-07-22,13.61,0.0
2021-07-23,16.05,0.0
2021-07-24,16.06,0.0
2021-07-25,16.33,0.0
2021-07-26,15.49,0.0
2021-07-27,15.12,12.88
2021-07-28,13.77,15.67
2021-07-29,12.2,18.81
2021-07-30,11.17,14.35
2021-07-31,13.78,0.0
2021-08-01,11.53,0.68
2021-08-02,9.4,1.09
2021-08-03,10.2,0.0
2021-08-04,9.77,0.0
2021-08-05,11.44,0.0
2021-08-06,10.24,0.0
2021-08-07,11.05,1.17
2021-08-08,9.49,4.1
2021-08-09,10.87,0.0
2021-08-10,10.55,6.2
2021-08-11,11.4,0.0
2021-08-12,11.84,0.21
2021-08-13,11.52,0.13
2021-08-14,9.62,0.57
2021-08-15,8.58,0.0
2021-08-16,7.25,0.24
2021-08-17,9.37,0.01
2021-08-18,12.13,0.0
2021-08-19,7.61,0.0
2021-08-20,7.89,0.15
2021-08-21,7.23,0.0
2021-08-22,8.96,0.0
2021-08-23,10.65,0.0
2021-08-24,12.06,0.0
2021-08-25,13.93,0.02
2021-08-26,10.86,0.0
2021-08-27,9.6,0.1
2021-08-28,8.26,0.0
2021-08-29,11.13,0.0
