time,tg,rr
2022-01-01,-1.7,0.39
2022-01-02,-4.479,8.83
2022-01-03,-1.629,0.0
2022-01-04,-4.8,10.63
2022-01-05,-8.891,13.95
2022-01-06,-9.499,0.0
2022-01-07,-13.0,3.22
2022-01-08,-10.28,3.25
2022-01-09,-10.25,0.82
2022-01-10,-8.87,2.0
2022-01-11,-7.549,3.17
2022-01-12,-4.349,0.14
2022-01-13,-0.329,0.7
2022-01-14,-0.53,19.37
2022-01-15,-7.11,0.52
2022-01-16,-4.6,1.31
2022-01-17,-5.57,26.63
2022-01-18,-7.159,5.31
2022-01-19,-2.011,1.22
2022-01-20,-6.761,9.93
2022-01-21,-10.15,4.39
2022-01-22,-3.299,7.34
2022-01-23,-0.95,0.31
2022-01-24,-0.86,0.62
2022-01-25,-3.01,12.96
2022-01-26,-3.54,13.72
2022-01-27,-3.43,8.85
2022-01-28,-4.84,8.2
2022-01-29,-5.669,6.12
2022-01-30,-3.29,67.75
2022-01-31,-10.062,0.55
2022-02-01,-11.0,3.24
2022-02-02,-7.34,10.55
2022-02-03,-8.578,5.51
2022-02-04,-5.329,9.41
2022-02-05,-6.77,21.8
2022-02-06,-6.62,28.03
2022-02-07,-7.63,16.15
2022-02-08,-5.12,9.28
2022-02-09,-4.83,23.03
2022-02-10,-6.48,36.56
2022-02-11,-8.16,10.17
2022-02-12,-8.44,7.36
2022-02-13,-3.688,1.08
2022-02-14,-2.439,2.51
2022-02-15,-5.16,1.89
2022-02-16,-6.72,2.87
2022-02-17,-7.261,1.1
2022-02-18,-7.12,6.51
2022-02-19,-9.303,1.03
2022-02-20,-10.231,1.22
2022-02-21,-9.48,5.18
2022-02-22,-8.42,0.03
2022-02-23,-9.669,9.96
2022-02-24,-4.758,27.66
2022-02-25,-7.58,2.04
2022-02-26,-8.57,0.44
2022-02-27,-6.037,0.0
2022-02-28,-6.52,0.0
2022-03-01,-6.449,1.26
2022-03-02,-4.7,2.56
2022-03-03,-6.449,3.59
2022-03-04,-13.43,0.0
2022-03-05,-12.85,0.0
2022-03-06,-8.588,1.18
2022-03-07,-5.88,0.0
2022-03-08,-7.221,0.0
2022-03-09,-10.069,0.0
2022-03-10,-6.71,0.0
2022-03-11,-6.161,0.0
2022-03-12,-8.082,0.0
2022-03-13,-7.59,0.0
2022-03-14,-5.311,0.21
2022-03-15,-5.502,0.0
2022-03-16,-6.32,0.0
2022-03-17,-3.429,0.47
2022-03-18,-4.27,7.1
2022-03-19,-5.361,0.85
2022-03-20,-3.918,0.0
2022-03-21,-5.111,0.0
2022-03-22,-6.78,0.94
2022-03-23,-7.62,0.07
2022-03-24,-3.049,0.39
2022-03-25,0.13,0.4
2022-03-26,-0.9,1.55
2022-03-27,-2.9,0.0
2022-03-28,-1.29,6.54
2022-03-29,-5.282,1.08
2022-03-30,-10.44,0.01
2022-03-31,-12.493,0.03
2022-04-01,-12.082,0.0
2022-04-02,-13.441,0.0
2022-04-03,-8.659,5.22
2022-04-04,-5.09,11.33
2022-04-05,-6.9,2.33
2022-04-06,-10.541,0.94
2022-04-07,-11.86,0.0
2022-04-08,-9.18,1.15
2022-04-09,-9.32,0.0
2022-04-10,-6.42,7.21
2022-04-11,-6.14,4.63
2022-04-12,-7.471,0.04
2022-04-13,-6.01,0.03
2022-04-14,-3.48,3.71
2022-04-15,-2.999,0.0
2022-04-16,-3.6,0.02
2022-04-17,-3.21,0.0
2022-04-18,-2.61,0.0
2022-04-19,-2.821,0.0
2022-04-20,-3.091,0.0
2022-04-21,-0.96,0.0
2022-04-22,1.8,0.0
2022-04-23,1.309,0.0
2022-04-24,-0.101,0.0
2022-04-25,-2.22,0.0
2022-04-26,-1.25,0.0
2022-04-27,-2.361,0.0
2022-04-28,-2.08,2.02
2022-04-29,-2.69,2.47
2022-04-30,-2.98,0.12
2022-05-01,-3.04,0.0
2022-05-02,-0.8,0.0
2022-05-03,-3.59,0.0
2022-05-04,-3.54,0.0
2022-05-05,-0.42,0.07
2022-05-06,-0.04,0.01
2022-05-07,1.51,0.87
2022-05-08,-4.12,0.0
2022-05-09,-0.6,0.0
2022-05-10,2.04,0.73
2022-05-11,0.89,5.75
2022-05-12,0.18,10.31
2022-05-13,-0.89,0.07
2022-05-14,0.29,1.06
2022-05-15,-0.38,3.01
2022-05-16,0.061,3.38
2022-05-17,1.102,0.0
2022-05-18,2.352,0.0
2022-05-19,2.051,0.12
2022-05-20,3.06,0.0
2022-05-21,3.741,0.0
2022-05-22,1.9,0.02
2022-05-23,3.65,0.22
2022-05-24,2.68,12.44
2022-05-25,2.27,4.8
2022-05-26,1.951,3.04
2022-05-27,-0.07,6.5
2022-05-28,-0.169,0.01
2022-05-29,0.92,0.03
2022-05-30,-0.87,0.08
2022-05-31,2.281,0.01
2022-06-01,3.741,2.37
2022-06-02,3.841,1.22
2022-06-03,2.561,2.06
2022-06-04,3.2,0.0
2022-06-05,3.8,0.02
2022-06-06,4.89,0.0
2022-06-07,8.521,0.02
2022-06-08,7.79,4.76
2022-06-09,6.071,1.89
2022-06-10,7.54,0.97
2022-06-11,7.01,0.05
2022-06-12,5.261,0.07
2022-06-13,3.02,0.51
2022-06-14,2.56,2.51
2022-06-15,3.32,0.13
2022-06-16,5.661,0.04
2022-06-17,5.66,0.03
2022-06-18,6.141,3.71
2022-06-19,2.11,0.13
2022-06-20,4.05,0.21
2022-06-21,6.99,0.01
2022-06-22,4.83,0.21
2022-06-23,6.209,0.0
2022-06-24,8.881,0.0
2022-06-25,13.411,0.16
2022-06-26,11.74,3.32
2022-06-27,12.08,3.77
2022-06-28,8.17,17.36
2022-06-29,7.41,0.0
2022-06-30,11.791,0.04
2022-07-01,13.451,0.0
2022-07-02,13.82,1.46
2022-07-03,7.681,0.33
2022-07-04,6.53,0.09
2022-07-05,5.22,0.03
2022-07-06,3.32,6.65
2022-07-07,4.76,3.76
2022-07-08,4.62,4.88
2022-07-09,5.03,2.79
2022-07-10,2.86,5.54
2022-07-11,6.25,0.0
2022-07-12,10.25,0.0
2022-07-13,10.23,0.13
2022-07-14,5.01,0.67
2022-07-15,3.135,0.61
2022-07-16,3.21,0.98
2022-07-17,4.28,0.16
2022-07-18,6.0,3.69
2022-07-19,7.539,0.02
2022-07-20,13.811,0.0
2022-07-21,14.89,3.14
2022-07-22,10.349,0.27
2022-07-23,12.64,0.0
2022-07-24,9.409,2.45
2022-07-25,9.231,2.62
2022-07-26,9.22,2.36
2022-07-27,4.77,1.49
2022-07-28,5.358,0.0
2022-07-29,8.93,0.0
2022-07-30,10.66,0.0
2022-07-31,9.881,1.15
2022-08-01,8.059,6.51
2022-08-02,4.819,0.0
2022-08-03,6.711,3.44
2022-08-04,9.761,2.05
2022-08-05,7.28,0.72
2022-08-06,3.92,2.63
2022-08-07,3.4,1.3
2022-08-08,5.95,7.6
2022-08-09,7.809,0.0
2022-08-10,9.66,0.0
2022-08-11,10.679,0.0
2022-08-12,10.459,0.01
2022-08-13,10.739,0.0
2022-08-14,11.71,0.0
2022-08-15,13.98,1.17
2022-08-16,14.03,0.13
2022-08-17,12.22,1.37
2022-08-18,8.2,0.82
2022-08-19,10.22,0.0
2022-08-20,9.981,0.17
2022-08-21,8.77,0.01
2022-08-22,5.78,3.56
2022-08-23,5.33,0.08
2022-08-24,9.671,0.14
2022-08-25,10.39,0.16
2022-08-26,11.34,0.85
2022-08-27,9.019,1.11
2022-08-28,6.029,0.18
2022-08-29,9.29,0.03
2022-08-30,9.319,0.0
2022-08-31,8.67,0.0
2022-09-01,8.32,0.0
2022-09-02,8.369,0.08
2022-09-03,7.69,0.0
2022-09-04,7.25,0.03
2022-09-05,6.37,0.03
2022-09-06,6.869,0.0
2022-09-07,7.159,0.15
2022-09-08,7.228,0.0
2022-09-09,4.59,0.02
2022-09-10,4.38,0.0
2022-09-11,5.519,0.0
2022-09-12,6.189,0.01
2022-09-13,6.531,33.88
2022-09-14,4.17,8.05
2022-09-15,2.64,2.52
2022-09-16,2.63,1.32
2022-09-17,2.8,0.24
2022-09-18,1.7,1.73
2022-09-19,2.258,0.03
2022-09-20,1.609,0.11
2022-09-21,2.219,0.0
2022-09-22,4.73,0.0
2022-09-23,5.401,9.14
2022-09-24,3.189,2.0
2022-09-25,2.759,0.0
2022-09-26,1.65,6.29
2022-09-27,1.51,21.24
2022-09-28,3.161,4.55
2022-09-29,2.929,0.33
2022-09-30,1.198,0.0
2022-10-01,2.031,0.64
2022-10-02,2.91,7.36
2022-10-03,2.64,2.0
2022-10-04,2.609,0.04
2022-10-05,4.622,6.0
2022-10-06,3.07,24.45
2022-10-07,1.56,36.62
2022-10-08,1.34,12.5
2022-10-09,-0.51,0.0
2022-10-10,2.281,0.0
2022-10-11,0.06,3.22
2022-10-12,-1.16,0.0
2022-10-13,1.442,0.03
2022-10-14,-0.422,0.04
2022-10-15,0.322,13.3
2022-10-16,-0.6,1.19
2022-10-17,0.05,8.45
2022-10-18,-0.3,6.19
2022-10-19,-2.37,0.0
2022-10-20,-3.249,0.01
2022-10-21,-2.458,0.0
2022-10-22,-1.771,0.08
2022-10-23,-0.419,0.0
2022-10-24,1.511,0.0
2022-10-25,0.159,2.11
2022-10-26,1.65,0.17
2022-10-27,2.592,3.87
2022-10-28,3.399,0.13
2022-10-29,4.832,4.78
2022-10-30,1.849,2.23
2022-10-31,3.491,0.89
2022-11-01,2.77,0.33
2022-11-02,2.77,1.57
2022-11-03,0.128,9.98
2022-11-04,1.61,8.31
2022-11-05,0.551,9.62
2022-11-06,-0.5,1.22
2022-11-07,-0.72,3.63
2022-11-08,-1.501,3.2
2022-11-09,0.9,10.4
2022-11-10,0.678,4.48
2022-11-11,3.722,17.31
2022-11-12,5.79,28.22
2022-11-13,1.95,0.0
2022-11-14,1.87,0.01
2022-11-15,1.589,0.0
2022-11-16,-2.841,0.18
2022-11-17,-5.59,0.02
2022-11-18,-8.073,0.0
2022-11-19,-9.393,0.0
2022-11-20,-9.551,0.0
2022-11-21,-9.72,0.07
2022-11-22,-9.961,0.25
2022-11-23,-8.1,0.38
2022-11-24,-5.871,0.11
2022-11-25,-4.313,1.71
2022-11-26,-3.021,0.03
2022-11-27,-2.281,0.02
2022-11-28,-0.66,1.35
2022-11-29,-2.971,4.16
2022-11-30,-5.011,0.61
2022-12-01,-8.051,0.0
2022-12-02,-7.491,0.04
