time,tg,rr
2022-01-01,-3.892,19.74
2022-01-02,-6.761,28.0
2022-01-03,-2.818,6.77
2022-01-04,-5.513,8.01
2022-01-05,-8.505,1.96
2022-01-06,-8.968,0.0
2022-01-07,-12.487,0.01
2022-01-08,-10.311,0.0
2022-01-09,-11.002,0.13
2022-01-10,-10.373,0.0
2022-01-11,-7.398,3.01
2022-01-12,-2.848,8.43
2022-01-13,0.327,157.16
2022-01-14,-0.88,81.32
2022-01-15,-7.07,7.63
2022-01-16,-5.075,2.93
2022-01-17,-7.586,59.74
2022-01-18,-7.06,2.71
2022-01-19,-1.359,13.74
2022-01-20,-7.29,56.64
2022-01-21,-9.839,5.32
2022-01-22,-2.498,5.05
2022-01-23,-0.47,0.0
2022-01-24,-0.095,9.06
2022-01-25,-4.957,18.16
2022-01-26,-4.199,24.48
2022-01-27,-4.648,14.7
2022-01-28,-6.391,4.01
2022-01-29,-6.705,27.28
2022-01-30,-5.082,55.89
2022-01-31,-9.22,1.23
2022-02-01,-11.28,2.49
2022-02-02,-9.564,12.5
2022-02-03,-9.433,6.85
2022-02-04,-6.441,28.15
2022-02-05,-6.327,39.38
2022-02-06,-7.075,18.42
2022-02-07,-7.144,6.89
2022-02-08,-5.565,20.07
2022-02-09,-5.731,58.24
2022-02-10,-6.337,93.4
2022-02-11,-8.111,1.17
2022-02-12,-8.329,10.0
2022-02-13,-3.176,29.72
2022-02-14,-2.75,5.96
2022-02-15,-6.007,3.27
2022-02-16,-7.647,0.69
2022-02-17,-7.473,0.64
2022-02-18,-7.231,6.93
2022-02-19,-9.042,0.01
2022-02-20,-9.266,3.29
2022-02-21,-8.805,0.44
2022-02-22,-8.379,0.0
2022-02-23,-9.491,15.95
2022-02-24,-5.623,32.86
2022-02-25,-6.631,8.54
2022-02-26,-7.974,0.03
2022-02-27,-4.403,0.01
2022-02-28,-3.382,0.02
2022-03-01,-2.917,8.33
2022-03-02,-4.032,24.57
2022-03-03,-6.532,1.28
2022-03-04,-9.106,0.02
2022-03-05,-8.651,0.0
2022-03-06,-7.186,0.55
2022-03-07,-5.802,0.0
2022-03-08,-5.464,0.0
2022-03-09,-4.905,0.0
2022-03-10,-1.896,0.0
2022-03-11,-1.021,0.0
2022-03-12,-3.333,0.0
2022-03-13,-2.18,0.0
2022-03-14,-1.96,0.0
2022-03-15,-2.455,0.0
2022-03-16,-3.296,0.0
2022-03-17,-1.796,0.0
2022-03-18,-2.997,10.17
2022-03-19,-5.193,0.13
2022-03-20,-0.81,0.0
2022-03-21,0.318,0.0
2022-03-22,-4.006,0.0
2022-03-23,-5.257,0.17
2022-03-24,-2.305,1.34
2022-03-25,1.165,7.64
2022-03-26,-1.41,5.21
2022-03-27,-3.095,0.38
2022-03-28,-0.869,2.62
2022-03-29,-6.643,11.93
2022-03-30,-10.903,0.72
2022-03-31,-11.267,0.0
2022-04-01,-9.036,0.0
2022-04-02,-10.171,0.05
2022-04-03,-7.97,2.85
2022-04-04,-5.967,9.2
2022-04-05,-8.302,0.02
2022-04-06,-9.172,1.89
2022-04-07,-9.921,0.0
2022-04-08,-9.901,0.0
2022-04-09,-9.056,0.38
2022-04-10,-6.047,23.67
2022-04-11,-5.434,5.17
2022-04-12,-6.995,0.0
2022-04-13,-5.109,0.0
2022-04-14,-4.144,1.49
2022-04-15,-4.423,0.0
2022-04-16,-3.892,0.0
2022-04-17,-2.535,0.0
2022-04-18,1.54,0.0
2022-04-19,2.254,0.0
2022-04-20,1.529,0.0
2022-04-21,2.403,0.0
2022-04-22,2.99,0.0
2022-04-23,2.191,0.0
2022-04-24,1.105,0.0
2022-04-25,-0.033,0.0
2022-04-26,-1.044,0.0
2022-04-27,-4.852,0.0
2022-04-28,-3.076,4.38
2022-04-29,-3.431,1.18
2022-04-30,-3.007,0.31
2022-05-01,-2.861,0.0
2022-05-02,-0.764,0.26
2022-05-03,-3.845,1.89
2022-05-04,-4.766,0.0
2022-05-05,-0.845,1.37
2022-05-06,0.18,0.01
2022-05-07,0.803,15.92
2022-05-08,-4.174,1.98
2022-05-09,-0.53,0.0
2022-05-10,2.511,0.4
2022-05-11,1.059,11.36
2022-05-12,0.326,13.02
2022-05-13,-0.757,0.12
2022-05-14,-0.161,5.78
2022-05-15,-0.849,2.52
2022-05-16,0.112,0.09
2022-05-17,1.301,0.0
2022-05-18,4.326,0.0
2022-05-19,3.876,2.22
2022-05-20,3.865,0.0
2022-05-21,4.761,11.33
2022-05-22,2.408,5.95
2022-05-23,3.681,0.01
2022-05-24,3.766,1.5
2022-05-25,3.234,3.91
2022-05-26,2.04,0.47
2022-05-27,1.065,0.45
2022-05-28,0.582,0.01
2022-05-29,-0.138,0.01
2022-05-30,0.055,0.11
2022-05-31,3.607,0.0
2022-06-01,5.155,0.0
2022-06-02,3.524,13.79
2022-06-03,2.98,2.68
2022-06-04,3.247,0.0
2022-06-05,3.384,0.11
2022-06-06,3.817,0.0
2022-06-07,7.335,0.0
2022-06-08,8.587,0.1
2022-06-09,4.852,2.3
2022-06-10,6.81,0.71
2022-06-11,6.726,1.65
2022-06-12,5.123,5.53
2022-06-13,3.49,8.74
2022-06-14,3.507,1.02
2022-06-15,3.719,0.0
2022-06-16,5.463,0.31
2022-06-17,5.633,0.87
2022-06-18,5.868,10.83
2022-06-19,2.248,0.02
2022-06-20,4.71,0.0
2022-06-21,7.201,0.0
2022-06-22,4.614,0.72
2022-06-23,5.816,0.0
2022-06-24,8.803,0.0
2022-06-25,12.714,0.0
2022-06-26,12.137,3.68
2022-06-27,11.945,15.23
2022-06-28,8.839,30.78
2022-06-29,6.393,2.26
2022-06-30,10.726,0.0
2022-07-01,13.197,0.0
2022-07-02,12.218,5.9
2022-07-03,7.434,2.45
2022-07-04,5.578,1.3
2022-07-05,5.665,0.65
2022-07-06,3.491,0.45
2022-07-07,3.573,9.12
2022-07-08,4.208,1.88
2022-07-09,4.677,12.75
2022-07-10,3.214,5.1
2022-07-11,6.244,0.69
2022-07-12,10.086,0.0
2022-07-13,8.219,15.6
2022-07-14,4.8,0.82
2022-07-15,2.758,0.17
2022-07-16,3.477,0.0
2022-07-17,3.576,2.21
2022-07-18,6.11,2.96
2022-07-19,6.938,0.23
2022-07-20,11.034,0.0
2022-07-21,13.601,5.58
2022-07-22,9.217,0.0
2022-07-23,10.039,0.0
2022-07-24,9.933,0.59
2022-07-25,9.466,10.78
2022-07-26,8.948,29.4
2022-07-27,5.169,0.2
2022-07-28,4.731,0.0
2022-07-29,7.402,0.0
2022-07-30,10.639,0.0
2022-07-31,10.328,0.64
2022-08-01,7.244,7.21
2022-08-02,4.531,0.0
2022-08-03,4.801,37.31
2022-08-04,8.836,24.47
2022-08-05,5.888,15.1
2022-08-06,4.075,0.1
2022-08-07,3.771,0.33
2022-08-08,5.591,2.19
2022-08-09,8.03,1.07
2022-08-10,8.925,9.74
2022-08-11,10.84,10.35
2022-08-12,9.057,4.55
2022-08-13,9.858,0.93
2022-08-14,10.03,0.0
2022-08-15,12.97,0.2
2022-08-16,13.349,1.07
2022-08-17,11.673,3.5
2022-08-18,6.846,0.13
2022-08-19,9.818,0.04
2022-08-20,9.102,25.18
2022-08-21,8.658,0.67
2022-08-22,5.651,8.25
2022-08-23,4.886,0.0
2022-08-24,8.515,0.0
2022-08-25,10.615,0.15
2022-08-26,12.259,6.34
2022-08-27,8.872,0.32
