time,tg,rr
2022-01-01,0.104,0.89
2022-01-02,-0.783,20.18
2022-01-03,0.131,10.34
2022-01-04,-3.586,45.75
2022-01-05,-6.162,30.04
2022-01-06,-10.299,0.3
2022-01-07,-10.62,0.73
2022-01-08,-6.235,0.54
2022-01-09,-6.592,0.13
2022-01-10,-6.677,0.23
2022-01-11,-4.836,10.07
2022-01-12,-2.186,12.23
2022-01-13,1.182,1.83
2022-01-14,0.608,33.22
2022-01-15,-5.688,0.03
2022-01-16,-2.501,4.08
2022-01-17,-3.769,18.4
2022-01-18,-4.712,0.47
2022-01-19,-1.064,24.45
2022-01-20,-5.991,37.3
2022-01-21,-8.527,2.11
2022-01-22,-0.981,0.2
2022-01-23,0.077,2.44
2022-01-24,0.353,5.34
2022-01-25,-1.473,3.58
2022-01-26,-1.506,18.44
2022-01-27,-1.609,29.21
2022-01-28,-3.754,6.94
2022-01-29,-3.889,31.21
2022-01-30,-2.231,69.18
2022-01-31,-7.923,0.0
2022-02-01,-7.725,6.07
2022-02-02,-4.637,24.89
2022-02-03,-5.839,1.43
2022-02-04,-2.557,20.19
2022-02-05,-5.11,40.37
2022-02-06,-4.61,49.32
2022-02-07,-6.006,29.05
2022-02-08,-3.22,16.5
2022-02-09,-2.953,12.74
2022-02-10,-4.696,29.53
2022-02-11,-6.444,16.78
2022-02-12,-6.345,18.45
2022-02-13,-1.898,23.55
2022-02-14,-1.031,17.95
2022-02-15,-2.849,9.6
2022-02-16,-3.935,17.92
2022-02-17,-5.902,5.63
2022-02-18,-5.013,17.51
2022-02-19,-6.467,1.53
2022-02-20,-9.149,2.42
2022-02-21,-6.299,10.75
2022-02-22,-6.285,2.57
2022-02-23,-6.826,12.91
2022-02-24,-2.881,39.56
2022-02-25,-5.187,18.61
2022-02-26,-7.33,0.01
2022-02-27,-4.431,0.07
2022-02-28,-5.58,0.0
2022-03-01,-4.027,5.14
2022-03-02,-2.789,1.9
2022-03-03,-4.779,0.17
2022-03-04,-8.531,0.0
2022-03-05,-10.444,0.0
2022-03-06,-7.196,0.12
2022-03-07,-6.255,0.0
2022-03-08,-6.036,0.0
2022-03-09,-6.486,0.0
2022-03-10,-4.521,0.0
2022-03-11,-4.725,0.0
2022-03-12,-5.663,0.0
2022-03-13,-4.47,0.0
2022-03-14,-3.287,0.0
2022-03-15,-3.265,0.0
2022-03-16,-3.792,0.03
2022-03-17,-1.905,0.0
2022-03-18,-2.553,13.74
2022-03-19,-4.36,0.01
2022-03-20,-1.66,0.0
2022-03-21,-2.914,0.0
2022-03-22,-3.337,1.03
2022-03-23,-4.434,0.76
2022-03-24,-1.353,0.07
2022-03-25,1.488,0.0
2022-03-26,0.732,0.0
2022-03-27,0.415,0.01
2022-03-28,0.158,0.09
2022-03-29,-4.07,0.0
2022-03-30,-7.681,0.0
2022-03-31,-8.972,0.0
2022-04-01,-8.182,0.0
2022-04-02,-8.544,0.0
2022-04-03,-5.905,0.0
2022-04-04,-2.933,4.3
2022-04-05,-5.122,11.39
2022-04-06,-8.28,1.21
2022-04-07,-7.468,0.0
2022-04-08,-6.599,3.22
2022-04-09,-6.525,2.63
2022-04-10,-4.787,1.16
2022-04-11,-4.913,0.93
2022-04-12,-5.527,0.0
2022-04-13,-3.331,7.78
2022-04-14,-1.753,2.01
2022-04-15,0.632,0.0
2022-04-16,-0.682,0.05
2022-04-17,-0.319,0.0
2022-04-18,2.071,0.0
2022-04-19,1.052,0.0
2022-04-20,1.9,0.0
2022-04-21,3.399,0.0
2022-04-22,4.39,0.0
2022-04-23,4.327,0.0
2022-04-24,1.804,0.0
2022-04-25,-0.432,0.0
2022-04-26,1.443,0.0
2022-04-27,1.736,0.01
2022-04-28,-0.722,0.0
2022-04-29,-1.261,0.0
2022-04-30,-0.667,0.0
2022-05-01,-0.672,0.0
2022-05-02,1.259,0.0
2022-05-03,-1.85,0.02
2022-05-04,-0.782,0.0
2022-05-05,0.998,4.56
2022-05-06,1.01,0.01
