time,tg,rr
2022-01-01,0.948,1.23
2022-01-02,-0.053,13.05
2022-01-03,0.809,9.57
2022-01-04,-2.607,31.31
2022-01-05,-4.986,20.4
2022-01-06,-8.946,0.07
2022-01-07,-8.869,1.51
2022-01-08,-4.775,1.8
2022-01-09,-5.336,0.24
2022-01-10,-5.296,0.41
2022-01-11,-3.662,3.15
2022-01-12,-1.271,11.79
2022-01-13,2.22,0.45
2022-01-14,1.713,37.94
2022-01-15,-4.447,0.01
2022-01-16,-1.565,4.61
2022-01-17,-2.618,22.56
2022-01-18,-3.457,0.28
2022-01-19,-0.052,16.8
2022-01-20,-4.848,22.54
2022-01-21,-6.999,0.09
2022-01-22,0.125,0.5
2022-01-23,1.097,1.11
2022-01-24,1.077,3.15
2022-01-25,-0.325,2.38
2022-01-26,-0.582,21.45
2022-01-27,-0.554,25.85
2022-01-28,-2.616,6.11
2022-01-29,-2.747,22.46
2022-01-30,-0.96,96.96
2022-01-31,-6.33,0.0
2022-02-01,-6.311,4.04
2022-02-02,-3.461,18.21
2022-02-03,-4.635,1.22
2022-02-04,-1.789,24.38
2022-02-05,-3.971,27.39
2022-02-06,-3.566,42.11
2022-02-07,-4.964,32.09
2022-02-08,-2.122,16.74
2022-02-09,-1.834,17.05
2022-02-10,-3.535,39.53
2022-02-11,-5.27,12.55
2022-02-12,-5.106,14.96
2022-02-13,-1.109,23.67
2022-02-14,-0.266,15.03
2022-02-15,-1.851,10.02
2022-02-16,-2.928,16.35
2022-02-17,-4.572,1.56
2022-02-18,-3.705,20.79
2022-02-19,-4.987,2.23
2022-02-20,-7.659,4.73
2022-02-21,-5.199,12.32
2022-02-22,-4.805,0.03
2022-02-23,-5.533,18.73
2022-02-24,-1.779,36.82
2022-02-25,-3.962,20.8
2022-02-26,-5.74,0.38
2022-02-27,-3.215,0.01
2022-02-28,-3.748,0.0
2022-03-01,-2.339,5.95
2022-03-02,-1.896,2.19
2022-03-03,-3.522,0.56
2022-03-04,-7.109,0.0
2022-03-05,-8.209,0.0
2022-03-06,-5.601,0.0
2022-03-07,-4.778,0.0
2022-03-08,-3.866,0.0
2022-03-09,-4.264,0.0
2022-03-10,-3.338,0.0
2022-03-11,-3.243,0.0
2022-03-12,-3.898,0.0
2022-03-13,-3.235,0.0
2022-03-14,-1.825,0.0
2022-03-15,-1.766,0.0
2022-03-16,-2.461,0.0
2022-03-17,-0.975,0.0
2022-03-18,-1.541,10.05
2022-03-19,-2.812,0.22
2022-03-20,0.484,0.0
2022-03-21,-1.34,0.0
2022-03-22,-2.016,4.91
2022-03-23,-2.663,0.04
2022-03-24,0.508,0.0
2022-03-25,2.929,0.0
2022-03-26,1.879,1.1
2022-03-27,1.756,0.0
2022-03-28,1.086,0.17
2022-03-29,-2.549,0.0
2022-03-30,-5.937,0.0
2022-03-31,-7.047,0.0
2022-04-01,-6.431,0.0
2022-04-02,-6.529,0.0
2022-04-03,-4.359,0.0
2022-04-04,-1.891,7.22
2022-04-05,-3.727,10.12
2022-04-06,-6.072,0.34
2022-04-07,-5.811,0.0
2022-04-08,-4.981,0.48
2022-04-09,-4.881,0.55
2022-04-10,-3.436,0.56
2022-04-11,-3.676,0.34
2022-04-12,-3.66,0.0
2022-04-13,-1.593,10.43
2022-04-14,-0.832,5.19
2022-04-15,1.676,0.0
2022-04-16,0.786,0.07
2022-04-17,0.466,0.0
2022-04-18,3.028,0.0
2022-04-19,2.525,0.0
2022-04-20,3.692,0.0
2022-04-21,5.134,0.0
2022-04-22,5.939,0.0
2022-04-23,5.958,0.0
2022-04-24,3.381,0.0
2022-04-25,1.094,0.0
2022-04-26,2.955,0.0
2022-04-27,2.859,0.0
2022-04-28,0.796,0.0
2022-04-29,0.017,0.0
2022-04-30,0.692,0.0
2022-05-01,1.019,0.0
2022-05-02,2.742,0.0
2022-05-03,-0.463,0.06
2022-05-04,0.731,0.0
2022-05-05,2.015,0.92
2022-05-06,2.201,0.09
2022-05-07,3.518,10.26
2022-05-08,0.128,0.0
2022-05-09,3.049,0.0
2022-05-10,4.852,4.81
2022-05-11,3.758,12.72
2022-05-12,2.202,21.9
2022-05-13,1.423,11.59
2022-05-14,2.391,24.11
2022-05-15,2.357,4.52
2022-05-16,4.886,0.0
2022-05-17,7.349,0.0
2022-05-18,7.519,0.0
2022-05-19,5.456,4.95
2022-05-20,5.308,0.35
2022-05-21,6.638,0.74
2022-05-22,4.845,1.05
2022-05-23,7.279,0.02
2022-05-24,6.245,3.39
2022-05-25,4.878,2.76
2022-05-26,3.982,14.96
2022-05-27,2.356,4.18
2022-05-28,2.724,0.6
2022-05-29,4.643,0.0
2022-05-30,2.43,0.0
2022-05-31,5.493,0.0
2022-06-01,6.305,5.91
2022-06-02,7.127,3.03
2022-06-03,5.445,1.85
2022-06-04,6.419,0.05
2022-06-05,8.24,0.0
2022-06-06,11.247,0.0
2022-06-07,12.627,0.09
2022-06-08,8.668,3.03
2022-06-09,8.511,0.39
2022-06-10,9.933,0.11
2022-06-11,8.298,0.26
2022-06-12,7.396,13.01
2022-06-13,5.107,11.34
2022-06-14,5.588,3.63
2022-06-15,6.653,0.05
2022-06-16,8.298,0.02
2022-06-17,9.625,0.0
2022-06-18,7.986,16.11
2022-06-19,4.994,0.09
2022-06-20,6.111,0.43
2022-06-21,9.674,0.0
2022-06-22,7.654,1.85
2022-06-23,8.953,0.14
2022-06-24,10.918,0.0
2022-06-25,15.72,6.07
2022-06-26,14.718,0.09
2022-06-27,12.202,17.5
2022-06-28,9.111,4.17
2022-06-29,9.712,0.0
2022-06-30,13.107,0.0
2022-07-01,14.759,0.01
