time,tg,rr
2022-01-01,0.95,0.0
2022-01-02,-3.14,33.65
2022-01-03,0.8,2.74
2022-01-04,-2.79,18.08
2022-01-05,-5.59,1.33
2022-01-06,-7.4,0.22
2022-01-07,-13.49,8.47
2022-01-08,-7.1,1.68
2022-01-09,-6.9,0.15
2022-01-10,-6.41,3.07
2022-01-11,-5.17,1.99
2022-01-12,-1.81,5.18
2022-01-13,2.72,0.26
2022-01-14,1.86,9.71
2022-01-15,-4.47,0.12
2022-01-16,-2.25,0.03
2022-01-17,-3.08,6.43
2022-01-18,-3.57,0.03
2022-01-19,0.54,0.14
2022-01-20,-5.01,2.81
2022-01-21,-7.22,0.01
2022-01-22,0.67,0.0
2022-01-23,1.54,0.0
2022-01-24,1.34,0.03
2022-01-25,-0.32,0.51
2022-01-26,-0.99,3.29
2022-01-27,-0.99,2.19
2022-01-28,-2.75,0.19
2022-01-29,-3.44,4.97
2022-01-30,-1.31,37.99
2022-01-31,-7.92,0.65
2022-02-01,-8.07,2.79
2022-02-02,-6.03,15.81
2022-02-03,-5.37,4.29
2022-02-04,-4.08,22.72
2022-02-05,-4.18,16.04
2022-02-06,-4.11,25.12
2022-02-07,-5.4,4.04
2022-02-08,-2.46,6.97
2022-02-09,-2.29,32.32
2022-02-10,-4.24,35.78
2022-02-11,-5.9,1.24
2022-02-12,-5.74,4.63
2022-02-13,-1.02,13.76
2022-02-14,-0.14,12.99
2022-02-15,-2.71,38.36
2022-02-16,-3.86,9.07
2022-02-17,-5.38,0.48
2022-02-18,-4.92,3.65
2022-02-19,-5.55,3.05
2022-02-20,-8.27,0.0
2022-02-21,-7.25,22.04
2022-02-22,-4.83,0.0
2022-02-23,-8.55,14.43
2022-02-24,-2.46,35.09
2022-02-25,-4.7,7.64
2022-02-26,-6.64,0.02
2022-02-27,-4.82,0.94
2022-02-28,-5.05,0.0
2022-03-01,-5.2,7.38
2022-03-02,-1.88,0.0
2022-03-03,-3.49,0.15
2022-03-04,-12.3,0.0
2022-03-05,-13.66,0.0
2022-03-06,-6.54,0.03
2022-03-07,-3.18,0.36
2022-03-08,-5.19,0.0
2022-03-09,-9.45,0.0
2022-03-10,-6.83,0.0
2022-03-11,-4.199,0.0
2022-03-12,-4.97,0.02
2022-03-13,-4.11,0.0
2022-03-14,-2.49,0.0
2022-03-15,-3.81,0.0
2022-03-16,-4.45,0.01
2022-03-17,-2.19,4.99
2022-03-18,-2.04,9.2
2022-03-19,-2.43,0.46
2022-03-20,-1.9,0.03
2022-03-21,-2.77,0.0
2022-03-22,-3.17,1.66
2022-03-23,-5.41,0.0
2022-03-24,-0.97,0.0
2022-03-25,3.36,0.02
2022-03-26,2.64,0.11
2022-03-27,2.35,0.0
2022-03-28,2.16,0.09
2022-03-29,-2.83,0.36
2022-03-30,-7.29,0.23
2022-03-31,-10.01,0.01
2022-04-01,-9.63,0.0
2022-04-02,-9.93,0.0
2022-04-03,-6.59,0.3
2022-04-04,-1.74,3.23
2022-04-05,-4.57,2.22
2022-04-06,-7.95,0.35
2022-04-07,-7.56,0.8
2022-04-08,-5.68,1.56
2022-04-09,-5.76,0.0
2022-04-10,-3.54,0.04
2022-04-11,-3.16,0.15
2022-04-12,-4.72,0.0
2022-04-13,-1.96,2.39
2022-04-14,-1.4,21.15
2022-04-15,1.17,0.0
2022-04-16,-1.39,0.0
2022-04-17,-0.768,0.0
2022-04-18,0.67,0.0
2022-04-19,1.17,0.0
2022-04-20,0.42,0.0
2022-04-21,2.53,0.0
2022-04-22,5.02,0.0
2022-04-23,5.12,0.0
2022-04-24,3.21,0.0
2022-04-25,0.03,0.0
2022-04-26,1.9,0.0
2022-04-27,1.73,0.0
2022-04-28,1.25,0.01
2022-04-29,-0.1,0.04
2022-04-30,0.85,0.05
2022-05-01,-0.07,0.0
2022-05-02,2.64,0.0
2022-05-03,-0.35,0.0
2022-05-04,-0.45,0.0
2022-05-05,2.37,0.0
2022-05-06,2.83,0.01
2022-05-07,4.36,0.39
2022-05-08,-0.12,0.02
2022-05-09,1.87,0.0
2022-05-10,4.71,6.57
2022-05-11,3.44,14.46
2022-05-12,2.36,9.07
2022-05-13,2.27,0.0
2022-05-14,2.9,0.81
2022-05-15,3.05,0.01
2022-05-16,4.04,0.0
2022-05-17,5.06,0.0
2022-05-18,6.61,0.0
2022-05-19,4.47,3.84
2022-05-20,5.39,0.0
2022-05-21,6.869,1.62
2022-05-22,5.16,0.16
2022-05-23,6.9,0.16
2022-05-24,5.32,15.73
2022-05-25,4.95,1.7
2022-05-26,4.42,3.43
2022-05-27,3.16,0.18
2022-05-28,3.51,0.0
2022-05-29,4.69,0.0
2022-05-30,2.26,0.61
2022-05-31,5.15,2.49
2022-06-01,6.69,2.93
2022-06-02,7.33,3.93
2022-06-03,6.14,0.0
2022-06-04,6.46,0.0
2022-06-05,8.12,0.0
2022-06-06,8.85,0.0
2022-06-07,11.26,0.0
2022-06-08,9.46,3.68
2022-06-09,9.12,1.7
2022-06-10,10.11,0.88
2022-06-11,9.24,0.59
2022-06-12,7.63,8.24
2022-06-13,5.8,0.07
2022-06-14,6.29,0.01
2022-06-15,6.741,0.0
2022-06-16,9.24,0.01
2022-06-17,9.47,0.0
2022-06-18,8.598,8.49
2022-06-19,4.94,0.5
2022-06-20,6.41,1.06
2022-06-21,10.62,0.0
2022-06-22,8.038,0.14
2022-06-23,9.449,0.0
2022-06-24,10.98,0.0
2022-06-25,15.8,2.25
2022-06-26,13.99,2.78
2022-06-27,13.079,6.68
2022-06-28,9.21,13.88
2022-06-29,9.9,0.01
2022-06-30,13.22,0.0
2022-07-01,14.53,0.0
2022-07-02,14.71,3.51
2022-07-03,9.35,2.91
2022-07-04,8.31,0.54
2022-07-05,7.09,0.0
2022-07-06,6.55,0.02
2022-07-07,7.54,0.32
2022-07-08,8.719,0.0
2022-07-09,8.859,0.0
2022-07-10,6.63,0.0
2022-07-11,10.27,0.0
2022-07-12,13.84,0.0
